# lambba_val.val 0.3750
#time (ps)      gradients (kcal/mol*lam)
0.000            0.7215471184
200.000            2.3670737355
400.000            0.9026573180
600.000            1.4671622210
800.000            -0.0919272253
1000.000            1.4096946978
1200.000            1.0264314386
1400.000            1.5974756374
1600.000            2.1495337314
1800.000            1.7697976422
2000.000            1.8698840517
2200.000            2.3943121291
2400.000            1.9153210163
2600.000            1.7085738612
2800.000            2.1261056890
3000.000            1.3350195895
3200.000            2.1358935039
3400.000            2.0957539091
3600.000            -0.3000240413
3800.000            0.2384643193
4000.000            1.3693358650
4200.000            0.6054844171
4400.000            1.4279206536
4600.000            0.7309144547
4800.000            0.3939531669
5000.000            1.7863567758
5200.000            1.6864712984
5400.000            1.1267265723
5600.000            1.3765932480
5800.000            0.0109656633
6000.000            1.0221595734
6200.000            1.8714694787
6400.000            1.2681083752
6600.000            -0.8002520056
6800.000            -0.2472202940
7000.000            -0.2608264774
7200.000            1.8670761730
7400.000            0.4547326960
7600.000            1.2721020701
7800.000            1.6144828774
8000.000            0.8422339506
8200.000            0.8101286875
8400.000            0.5603679489
8600.000            0.1621003772
8800.000            1.7294961821
9000.000            1.3086177529
9200.000            -0.7867119299
9400.000            -0.4538651750
9600.000            -1.5583007053
9800.000            0.8040225368
10000.000            1.0459037856
10200.000            1.4555174682
10400.000            1.8568461817
10600.000            1.3737668143
10800.000            1.4069104382
11000.000            1.1365424895
11200.000            2.0146079433
11400.000            1.1565645296
11600.000            2.0843927703
11800.000            -0.3588570810
12000.000            2.1316882028
12200.000            1.8025901211
12400.000            2.1643802217
12600.000            -0.2276100977
12800.000            2.2080006257
13000.000            1.9111781286
13200.000            0.9414747659
13400.000            1.5004829859
13600.000            1.5438671861
13800.000            1.8609096727
14000.000            1.0282290292
14200.000            -0.6072213319
14400.000            0.2353257879
14600.000            1.7090845587
14800.000            -0.3980727356
15000.000            0.3549639554
15200.000            0.2402019931
15400.000            1.6946734016
15600.000            2.0220557742
15800.000            1.7927295807
16000.000            2.1147490570
16200.000            1.1980729522
16400.000            0.8205671242
16600.000            0.9051037513
16800.000            -0.0479536740
17000.000            1.3588171894
17200.000            0.7819877717
17400.000            0.2537462080
17600.000            -1.4346055189
17800.000            0.7430836805
18000.000            -0.6450097054
18200.000            0.2863368719
18400.000            0.8751325351
18600.000            -0.0305934283
18800.000            1.8269565979
19000.000            1.8381171662
19200.000            0.5640845034
19400.000            -0.2455058521
19600.000            0.7502223628
19800.000            1.3789718125
20000.000            1.9266874505
20200.000            1.6264643653
20400.000            0.0131816878
