# lambba_val.val 0.3125
#time (ps)      gradients (kcal/mol*lam)
0.000            0.8038965125
200.000            -0.6041575144
400.000            1.2505397836
600.000            1.4096194579
800.000            -2.9993939763
1000.000            0.4471603641
1200.000            1.5490559895
1400.000            1.9978796504
1600.000            1.7110567107
1800.000            1.8801548058
2000.000            2.3619416289
2200.000            1.6877929471
2400.000            2.3107412498
2600.000            2.0906593808
2800.000            1.7951031048
3000.000            2.0294521268
3200.000            1.0658860710
3400.000            1.2899924472
3600.000            -0.4589910112
3800.000            0.7206661042
4000.000            1.8329110710
4200.000            0.7709438049
4400.000            1.4888569897
4600.000            2.2241811229
4800.000            -0.6985684988
5000.000            0.1884041962
5200.000            1.6258241150
5400.000            -0.4120910717
5600.000            -4.6190788276
5800.000            1.6308248663
6000.000            1.7134602998
6200.000            1.6745613203
6400.000            1.8268445327
6600.000            1.1665181532
6800.000            1.3889306071
7000.000            2.0529675714
7200.000            1.0344909432
7400.000            1.6696010947
7600.000            1.4287330695
7800.000            1.7590414820
8000.000            1.7803211803
8200.000            -0.9329668051
8400.000            1.2936234751
8600.000            -0.0655901070
8800.000            1.9606237909
9000.000            1.3100888199
9200.000            1.3735646547
9400.000            1.5135277050
9600.000            1.2603589444
9800.000            1.1188932914
10000.000            1.7304765000
10200.000            -0.2107780643
10400.000            0.2548905533
10600.000            1.9144477230
10800.000            0.8716324119
11000.000            0.3607001808
11200.000            0.2686935012
11400.000            1.3495861186
11600.000            -1.3668336718
11800.000            -0.8830907077
12000.000            1.0147341223
12200.000            2.1058528117
12400.000            2.0997932472
12600.000            2.3286846412
12800.000            1.1972530704
13000.000            -0.3965997829
13200.000            1.6419286904
13400.000            0.8184210927
13600.000            1.1849047824
13800.000            1.9116453532
14000.000            0.6393984192
14200.000            0.3527848749
14400.000            0.6298782964
14600.000            0.3683822272
14800.000            1.5019763378
15000.000            0.6729309325
15200.000            -1.4590643198
15400.000            0.5838958430
15600.000            2.0667226453
15800.000            -0.2691874257
16000.000            -0.9257049746
16200.000            1.3643386658
16400.000            0.4789428028
16600.000            1.4666131030
16800.000            0.7362446649
17000.000            2.3486213960
17200.000            -0.6101454209
17400.000            2.1695299879
17600.000            0.7355004855
17800.000            1.0436177231
18000.000            0.9653231148
18200.000            0.5728286075
18400.000            -1.3759169256
18600.000            -3.3938367857
18800.000            -1.8075540055
19000.000            -0.4030410005
19200.000            0.5464488430
19400.000            -0.2085959969
19600.000            0.1083753932
19800.000            0.2384198532
20000.000            -2.1067679471
20200.000            0.0054076139
20400.000            1.5233170321
20600.000            1.1220542957
20800.000            1.2264358220
21000.000            1.1847450163
21200.000            1.9934863744
21400.000            1.2617008797
21600.000            1.8086669717
21800.000            1.1886475967
22000.000            2.1504043918
22200.000            0.1358013378
22400.000            1.9080224731
22600.000            1.2570607852
22800.000            1.8755031893
23000.000            0.9208248396
23200.000            0.5550273968
23400.000            -0.0170535336
23600.000            0.5086411821
23800.000            -0.3588869095
24000.000            1.8391314868
24200.000            1.8695148203
24400.000            1.7758184483
24600.000            1.1571200639
24800.000            -0.0015321443
25000.000            1.9907552951
25200.000            1.0146548560
25400.000            1.7703761018
25600.000            0.1496664149
25800.000            1.9704588620
26000.000            1.3145690950
26200.000            -0.0253075977
26400.000            0.9980027933
26600.000            1.8602933738
26800.000            0.1006435858
27000.000            1.3497012199
27200.000            1.6811744682
27400.000            0.8774589927
27600.000            1.1812152312
27800.000            1.0237875719
28000.000            0.7796347655
28200.000            0.6727759520
28400.000            -1.5558087236
28600.000            -2.3030544873
28800.000            -1.1096962883
29000.000            1.8942202973
29200.000            2.0506787160
29400.000            1.0336124196
29600.000            -1.0437819545
29800.000            -4.7522374104
30000.000            0.7095853299
30200.000            1.2490423044
30400.000            0.5304535486
30600.000            1.0234238079
30800.000            -1.7552190811
31000.000            1.8027159024
31200.000            0.4958588293
31400.000            1.1352354819
31600.000            -0.7112371967
31800.000            0.4615814884
32000.000            1.7112336619
32200.000            2.0317519290
32400.000            0.5508830959
32600.000            2.1652026356
32800.000            1.5841636413
33000.000            1.3575083258
33200.000            -2.1694738367
