# lambba_val.val 0.8125
#time (ps)      gradients (kcal/mol*lam)
0.000            -0.0746437742
200.000            1.5816668978
400.000            2.1235478665
600.000            -0.3885858391
800.000            2.3193086351
1000.000            2.0887915435
1200.000            1.1683185546
1400.000            1.8994769873
1600.000            1.3683926807
1800.000            0.6729998984
2000.000            -1.4057253100
2200.000            1.6423273999
2400.000            -1.8035146556
2600.000            2.0894621850
2800.000            2.0728104900
3000.000            1.8861886223
3200.000            2.1015781653
3400.000            0.0061921998
3600.000            2.0729243638
3800.000            1.3482545964
4000.000            1.5943592860
4200.000            2.2347246036
4400.000            1.6169527639
4600.000            2.2330279238
4800.000            2.3537281697
5000.000            0.6819408085
5200.000            1.0963313018
5400.000            1.3941755972
5600.000            1.5448477294
5800.000            1.4369702546
6000.000            1.2250438019
6200.000            0.9653403770
6400.000            2.0272627234
6600.000            1.4622151185
6800.000            1.6034663606
7000.000            -0.5518018729
7200.000            1.9946273894
7400.000            2.2464602277
7600.000            1.6344640064
7800.000            2.0134105695
8000.000            0.7800970090
8200.000            -0.3158998343
8400.000            2.0319816869
8600.000            1.1016796399
8800.000            1.7528808643
9000.000            0.9129033024
9200.000            0.6902447832
9400.000            2.3963993408
9600.000            1.2616165255
9800.000            0.6695079112
10000.000            -0.2809594405
10200.000            -3.3065807258
10400.000            0.9907330521
10600.000            2.1456843312
10800.000            1.8407179753
11000.000            1.7561002672
11200.000            2.0075142045
11400.000            1.8334126245
11600.000            2.3234193111
11800.000            2.2880146790
12000.000            2.0912712027
12200.000            1.2963622278
12400.000            2.0354378095
12600.000            -3.7157254580
12800.000            1.4281577409
13000.000            -2.1050221670
13200.000            0.0161563577
13400.000            1.2866270180
13600.000            0.3324499057
13800.000            1.6081557631
14000.000            1.7826325638
14200.000            0.2967287646
14400.000            0.9697001071
14600.000            0.1767438409
14800.000            0.5874964779
15000.000            1.8541749302
15200.000            -1.3561698418
15400.000            0.2496508705
15600.000            1.9002470334
15800.000            0.7987369144
16000.000            1.3692939161
16200.000            2.0522560841
16400.000            0.8967405241
16600.000            -1.4833561260
16800.000            -0.5111148591
17000.000            2.3412944185
17200.000            1.3714283841
17400.000            0.8883062495
17600.000            1.6785726392
17800.000            0.8266750301
18000.000            1.6248727948
18200.000            -0.2456186247
18400.000            1.9619281537
18600.000            -1.3267507263
18800.000            1.8657948127
19000.000            -1.5359703415
19200.000            0.0462022536
19400.000            0.0554840612
19600.000            1.5429112642
19800.000            1.4591890099
20000.000            1.5953655299
20200.000            1.2104756243
20400.000            -0.8395735688
20600.000            1.5391771373
20800.000            1.1385790590
21000.000            0.5116901788
21200.000            1.2210582252
21400.000            1.4892993854
21600.000            1.2248742633
21800.000            1.7626996397
22000.000            1.5292956047
22200.000            1.6401006375
22400.000            1.2853951376
22600.000            1.8002710523
22800.000            1.8384490565
23000.000            0.7341882061
23200.000            0.5087906727
23400.000            1.1183784369
23600.000            1.5621432920
23800.000            1.7061430119
24000.000            -0.8415764085
24200.000            -0.6509164776
24400.000            1.8061689888
24600.000            1.2243259399
24800.000            1.7468816553
25000.000            1.8210120338
25200.000            1.7123912928
25400.000            1.4900664487
25600.000            0.4997183384
25800.000            1.2557793062
26000.000            0.5185977482
26200.000            -0.9671318953
26400.000            -0.0374115598
26600.000            -1.4679284363
26800.000            1.8134114401
27000.000            -2.1164011373
27200.000            -5.4232450068
27400.000            1.3780676358
27600.000            1.5710017750
27800.000            1.2214293424
28000.000            1.0429111340
28200.000            1.2601721494
28400.000            1.6073715680
28600.000            1.4096699163
28800.000            1.5653719042
29000.000            0.9628024853
29200.000            -0.0997942456
29400.000            1.9100471708
29600.000            2.2398893548
29800.000            1.2878315848
30000.000            1.9038924416
30200.000            -1.1996434297
30400.000            0.9668803447
30600.000            2.1315695613
30800.000            0.7898388011
31000.000            2.1559396435
31200.000            1.1358386518
31400.000            0.9897146695
31600.000            -4.0912365290
31800.000            1.5464072364
32000.000            2.0376638129
32200.000            1.8788681440
32400.000            1.6152923461
32600.000            1.7361757104
32800.000            0.2045438731
33000.000            1.0350350088
33200.000            -4.9532923704
33400.000            0.3593043845
33600.000            0.0218125909
33800.000            -1.3979876265
34000.000            0.7475654796
34200.000            0.5302314096
34400.000            1.5970190214
34600.000            -1.3342282606
34800.000            -1.1014454761
35000.000            1.3975632461
35200.000            -1.1983891932
35400.000            1.1222249789
35600.000            1.4430293804
35800.000            -0.9418745368
36000.000            1.9711530337
36200.000            1.4526315388
36400.000            -0.4737694281
36600.000            -1.9825508436
36800.000            0.8423436971
37000.000            1.3777820410
37200.000            1.5089950621
37400.000            1.1386844588
37600.000            -1.6169467864
37800.000            0.0569219066
38000.000            1.7075543756
38200.000            1.2861604990
38400.000            1.3220277066
38600.000            1.0315893586
38800.000            1.4136526229
39000.000            1.7351396623
39200.000            0.5872396294
39400.000            -2.1367844923
39600.000            1.7536653322
39800.000            0.0683705013
40000.000            -0.0219328930
40200.000            -0.3769547134
40400.000            0.0354445044
40600.000            1.0774921010
40800.000            1.7637386587
41000.000            2.1205227007
41200.000            2.0800896955
41400.000            1.3006163268
41600.000            1.3054322636
41800.000            1.8890896672
42000.000            1.4016816252
42200.000            1.9550092254
42400.000            1.8600092615
42600.000            0.9718284790
42800.000            1.2203258702
43000.000            -1.4890960457
43200.000            0.7593766342
43400.000            0.5674009692
43600.000            2.0533606889
43800.000            1.1413173433
44000.000            -2.0620116398
44200.000            1.7116351822
44400.000            0.0548964538
44600.000            1.5328058385
44800.000            1.9585044564
45000.000            -5.8722144034
45200.000            -0.3418580529
45400.000            1.6816315051
45600.000            1.9647738777
45800.000            2.0928144377
46000.000            0.7863930738
46200.000            0.2099175086
46400.000            1.2744327913
46600.000            0.6437846327
46800.000            -4.8718544410
47000.000            1.0068939092
47200.000            1.1367382981
47400.000            1.6730291447
47600.000            1.7246565786
47800.000            1.9892203324
48000.000            1.6098379914
48200.000            2.1345204479
48400.000            1.0363883534
48600.000            -0.2156234092
48800.000            1.1893441642
49000.000            1.7957323786
49200.000            -0.8401015463
49400.000            1.4267604194
49600.000            0.7669591177
49800.000            1.9506341248
50000.000            1.5403223982
50200.000            -0.9820495634
50400.000            0.4338106100
50600.000            -0.8326239053
50800.000            1.2542886288
51000.000            1.7784623862
51200.000            1.8121512203
51400.000            -0.5174334911
51600.000            0.3577719996
51800.000            0.5521285661
52000.000            0.5008246973
52200.000            1.4524273986
52400.000            1.9343144031
52600.000            -2.8064630214
52800.000            -0.3334942184
53000.000            -2.1098089164
53200.000            0.0354553530
53400.000            -3.3921031621
53600.000            -1.3878163779
53800.000            -0.0020485633
54000.000            0.9354499096
54200.000            -1.6804103462
54400.000            -0.9323458511
54600.000            -1.9688954056
54800.000            -0.4091005680
55000.000            1.2193811086
55200.000            -2.5415368973
55400.000            1.1704011231
55600.000            1.5840812558
55800.000            1.3375413042
56000.000            0.0913888009
56200.000            1.5788729190
56400.000            1.2665773618
56600.000            0.5186896152
56800.000            1.9107312853
57000.000            -0.8687957904
57200.000            -1.0454641591
57400.000            -2.3358497771
57600.000            2.2604772890
57800.000            -0.4425470762
58000.000            1.6298506918
58200.000            0.0205585970
58400.000            -0.2727337620
58600.000            -7.0971494788
58800.000            -1.6616251380
59000.000            1.1225473099
59200.000            2.0035135774
59400.000            1.6468806259
59600.000            2.0718270707
59800.000            1.7245544996
60000.000            0.9235481031
60200.000            2.1061392723
60400.000            0.2530116476
60600.000            1.7750802463
60800.000            2.0651778862
61000.000            1.7244664628
61200.000            1.0323032476
61400.000            0.6407238098
61600.000            -0.6526254087
61800.000            2.1343725537
62000.000            -4.1497439786
62200.000            1.8806990790
62400.000            0.1517452250
62600.000            1.6447252013
62800.000            1.5225434576
63000.000            0.9764717935
63200.000            1.5563219533
63400.000            0.0430446425
63600.000            1.3520051197
63800.000            0.8966301549
64000.000            1.7332296449
64200.000            1.3636393468
64400.000            1.3494960715
64600.000            1.8033286137
64800.000            1.1592084083
65000.000            1.4709958534
65200.000            -5.6526582289
65400.000            -5.2809981593
65600.000            -1.4761348092
65800.000            0.2706213780
66000.000            -1.8075954444
66200.000            0.0945268543
66400.000            1.0008592743
66600.000            1.7684049995
66800.000            0.9305559933
67000.000            0.8405613763
67200.000            1.7158542823
67400.000            0.5007621435
67600.000            -2.0470150375
67800.000            0.4985681888
68000.000            0.8718306933
68200.000            1.1112305572
68400.000            0.8972594880
68600.000            1.1927177827
68800.000            2.1557667129
69000.000            0.9527971461
69200.000            2.4634243814
69400.000            2.4052006172
69600.000            0.5940620689
69800.000            2.1377637962
70000.000            -0.0528796217
70200.000            1.8197764590
70400.000            2.2109914508
70600.000            1.6503816504
70800.000            1.1868458018
71000.000            -1.2821993064
71200.000            0.6027612307
71400.000            0.5113685611
71600.000            0.2381423642
71800.000            0.7943922583
72000.000            1.6366198757
72200.000            0.5270857486
72400.000            1.7147496123
72600.000            -1.7788404178
72800.000            2.0527388217
73000.000            1.2629196074
73200.000            -0.7806128834
73400.000            1.9578021072
73600.000            2.3590089237
73800.000            -0.2496393171
74000.000            1.8292283216
74200.000            -5.4122462681
74400.000            1.9143710659
74600.000            1.4638514487
74800.000            2.0737954215
75000.000            1.1731423605
75200.000            1.9842961671
75400.000            -2.1093218143
75600.000            2.0288864700
75800.000            0.3253066419
76000.000            -1.0111070200
76200.000            0.9440315091
76400.000            1.4402181215
76600.000            1.8916842972
76800.000            1.7260301445
77000.000            0.7188564402
77200.000            1.1916053977
77400.000            -1.8146481950
77600.000            1.6836311367
77800.000            1.9342159117
78000.000            0.8985358612
78200.000            0.5868473712
78400.000            1.7224371753
78600.000            0.6011355093
78800.000            0.3750701636
79000.000            2.1332379431
79200.000            -1.7866303326
79400.000            -1.9122539136
79600.000            1.9194308858
79800.000            0.9891586193
80000.000            2.3236348370
80200.000            1.9193064804
80400.000            1.7295899473
80600.000            1.0602225771
80800.000            2.0283337822
81000.000            2.2514200086
81200.000            2.0619756032
81400.000            1.7058319775
81600.000            1.5257463218
81800.000            1.9409190592
82000.000            0.5494454522
82200.000            1.1078813466
82400.000            -0.9133830394
82600.000            1.3892753121
