# lambba_val.val 0.7500
#time (ps)      gradients (kcal/mol*lam)
0.000            0.0733699123
200.000            1.5784321836
400.000            2.3099426745
600.000            1.6181026383
800.000            1.9202057352
1000.000            2.0690350547
1200.000            1.4458412737
1400.000            0.5925779121
1600.000            -0.2464673014
1800.000            1.9477768314
2000.000            -1.1914733781
2200.000            0.6185200278
2400.000            -0.8170426880
2600.000            -1.9346384242
2800.000            -0.9997197892
3000.000            0.5614777786
3200.000            2.0276363312
3400.000            2.3069075345
3600.000            1.8517802420
3800.000            1.5427873509
4000.000            1.0894571391
4200.000            1.1843207722
4400.000            0.9738296939
4600.000            0.8774023671
4800.000            1.5778453152
5000.000            2.0741572345
5200.000            1.4275164114
5400.000            1.3404847723
5600.000            -1.2072267789
5800.000            2.3101168564
6000.000            2.4681215344
6200.000            2.0520640885
6400.000            2.1645370465
6600.000            2.0071712014
6800.000            1.6687413930
7000.000            0.8884171286
7200.000            1.6674366210
7400.000            1.3081047308
7600.000            0.8784365354
7800.000            1.6966047018
8000.000            1.8921317632
8200.000            0.6967073268
8400.000            1.4411272143
8600.000            1.9473612451
8800.000            0.5576926080
9000.000            0.4427495880
9200.000            1.7038568012
9400.000            1.1730864110
9600.000            2.0538267632
9800.000            1.0062722850
10000.000            1.5144358015
10200.000            -1.1943003515
10400.000            0.9538425874
10600.000            2.1072564249
10800.000            1.4177526961
11000.000            1.4034415661
11200.000            2.1540939488
11400.000            -0.0054783533
11600.000            1.8696223549
11800.000            1.3912905811
12000.000            -0.3587345542
12200.000            1.8106291494
12400.000            -5.4728120444
12600.000            1.4100913436
12800.000            1.0176773473
13000.000            1.2063826968
13200.000            2.1324697057
13400.000            0.4632820440
13600.000            2.0482826224
13800.000            2.0338215761
14000.000            0.3681875915
14200.000            1.7669542843
14400.000            2.1115459497
14600.000            1.8081800594
14800.000            2.0102057662
15000.000            1.8277270828
15200.000            2.1283656238
15400.000            0.2949628129
15600.000            1.9618638903
15800.000            0.3610852471
