# lambba_val.val 0.9375
#time (ps)      gradients (kcal/mol*lam)
0.000            2.3406343976
200.000            2.2781660046
400.000            2.2366473468
600.000            2.1070960600
800.000            0.3625604064
1000.000            1.7913079522
1200.000            1.1797392839
1400.000            -1.3138155639
1600.000            1.7241410007
1800.000            1.2089349866
2000.000            -0.0415912161
2200.000            0.6971299579
2400.000            2.2047820470
2600.000            1.7941128837
2800.000            1.3502343447
3000.000            1.9042903090
3200.000            0.9480931914
3400.000            1.8599885184
3600.000            0.9456530557
3800.000            1.7923925077
4000.000            2.0974851488
4200.000            2.1168729280
4400.000            1.9362404018
4600.000            0.3852776671
4800.000            1.3646754720
5000.000            1.5337429683
5200.000            1.3297045898
5400.000            0.2543609231
5600.000            -2.7770596857
5800.000            0.4574969258
6000.000            0.1293399452
6200.000            1.6954300281
6400.000            1.5916540615
6600.000            1.5327975365
6800.000            0.3411115383
7000.000            -4.7061447183
7200.000            -1.4013056988
7400.000            -0.6101484392
7600.000            0.2633110359
7800.000            0.5705572164
8000.000            1.5861526582
8200.000            0.8457098201
8400.000            -0.5931311242
8600.000            2.1390981529
8800.000            1.6370769246
9000.000            0.5105755179
9200.000            1.2920220193
9400.000            0.0961927454
9600.000            1.4626498824
9800.000            1.7618876507
10000.000            1.4903131604
10200.000            1.5285704784
10400.000            1.3349025491
10600.000            1.7151166259
10800.000            1.3609824044
11000.000            1.6848956025
11200.000            1.7294958026
11400.000            -2.8949637528
11600.000            1.5714991775
11800.000            0.9556545404
12000.000            2.2311379498
12200.000            -1.0122564853
12400.000            0.5691870870
12600.000            2.2783015466
12800.000            2.2230337983
13000.000            1.7574230961
13200.000            1.8021721866
13400.000            -0.8772900826
13600.000            0.9874035884
13800.000            1.8313429714
14000.000            1.5276874005
14200.000            1.5978379663
14400.000            0.6198816447
14600.000            1.0214761587
14800.000            -1.0628323463
15000.000            1.8784449733
15200.000            0.9323304983
15400.000            1.6272503571
15600.000            1.7508967160
15800.000            -0.8275046074
16000.000            0.9266824165
16200.000            -3.5937611022
16400.000            0.1668633568
16600.000            1.5573832810
16800.000            0.2748392162
17000.000            1.4139068064
17200.000            2.4322859040
17400.000            2.3285880948
17600.000            -0.4859747071
17800.000            1.7630427792
18000.000            2.1714062873
18200.000            1.4269145935
18400.000            1.6364429245
18600.000            1.9072742198
18800.000            2.1964107016
19000.000            1.2873883825
19200.000            0.2337393143
19400.000            0.4888904626
19600.000            0.5415473837
19800.000            1.1317033723
20000.000            1.7893548415
20200.000            1.6176005334
20400.000            2.3167701326
