# lambba_val.val 0.0625
#time (ps)      gradients (kcal/mol*lam)
0.000            1.1890672510
200.000            1.9059327352
400.000            2.0550397032
600.000            2.4574215848
800.000            1.0294537106
1000.000            0.2532804866
1200.000            0.6966384973
1400.000            1.3488554477
1600.000            -0.6128122901
1800.000            -0.2129164691
2000.000            -0.2180971733
2200.000            1.2332475596
2400.000            0.0732298380
2600.000            0.8747965531
2800.000            -0.0773539425
3000.000            0.9292993077
3200.000            2.4480965471
3400.000            0.8144722465
3600.000            1.6690888139
3800.000            1.0972230433
4000.000            -3.2285943233
4200.000            -4.1029970888
4400.000            1.3631903510
4600.000            2.1308453245
4800.000            2.1503473096
5000.000            0.3965116471
5200.000            0.5192215913
5400.000            -1.6713245662
5600.000            0.5662543278
5800.000            -1.8916599368
6000.000            0.2082819435
6200.000            1.3920219279
6400.000            0.2029771534
6600.000            0.7449857280
6800.000            0.3417535705
7000.000            1.1257076560
7200.000            0.6593289595
7400.000            0.5352938612
7600.000            1.1282021698
7800.000            0.2589223828
8000.000            -0.5926595243
8200.000            -0.8515393007
8400.000            -0.5614661991
8600.000            -0.3830905870
8800.000            -0.8402081974
9000.000            -5.1398193759
9200.000            -0.0637368533
9400.000            1.0474912999
9600.000            0.4588269299
9800.000            -2.0017107922
10000.000            -0.2761166610
10200.000            -2.0170119712
10400.000            0.0330721057
10600.000            0.5032346612
10800.000            -0.0160865016
11000.000            1.5495145623
11200.000            1.6410957686
11400.000            1.0831904099
11600.000            1.6337280341
11800.000            0.9315983805
12000.000            -1.8135225624
12200.000            0.4839903233
12400.000            1.3219499881
12600.000            1.7437264446
12800.000            1.7133538563
13000.000            1.6312561136
13200.000            1.6942118993
13400.000            1.8173538287
13600.000            1.7072601468
13800.000            1.5228396730
14000.000            1.1217241489
14200.000            1.3149833588
14400.000            0.5367481807
14600.000            -5.6041148160
14800.000            -0.2772792920
15000.000            1.4349531533
15200.000            0.6764589860
15400.000            0.8965816416
15600.000            1.7417578210
15800.000            1.9009217607
16000.000            1.5727651910
16200.000            -0.0273398768
16400.000            0.8021972650
16600.000            1.0092523591
16800.000            1.7735269184
17000.000            0.0719140914
17200.000            2.0979430575
17400.000            2.1515704195
17600.000            -0.2374966044
17800.000            -1.3602575271
18000.000            0.9098344207
18200.000            0.8429122122
18400.000            0.1927234363
18600.000            0.1001273408
18800.000            1.2845768925
19000.000            1.6235782224
19200.000            0.7698433392
19400.000            1.4447957376
19600.000            1.2099175164
19800.000            -0.1618987780
20000.000            1.1139428799
20200.000            -0.1931808693
20400.000            -0.0724912293
20600.000            -1.1258516720
20800.000            -0.8357280053
21000.000            0.3561393514
21200.000            1.3347036272
21400.000            0.6515229684
21600.000            0.1359623764
21800.000            1.3290201907
22000.000            -0.7877503381
22200.000            0.1451178007
22400.000            0.7837991258
22600.000            2.1160642895
22800.000            1.6820277003
23000.000            1.1541736663
23200.000            0.9794896595
23400.000            -0.8310099313
23600.000            1.0473869616
23800.000            -0.8999900514
24000.000            0.9591062036
24200.000            2.0365244346
24400.000            0.7650723814
24600.000            0.7253300196
24800.000            1.3074790387
25000.000            -0.5474416845
25200.000            2.0355738556
25400.000            2.2727161092
25600.000            0.0049813671
25800.000            -1.6794587294
26000.000            1.8084575300
26200.000            2.3991896964
26400.000            1.0830775917
26600.000            -1.2242897669
26800.000            1.0694316832
27000.000            -0.1224185624
27200.000            2.0465357867
27400.000            -0.9646610659
27600.000            1.8830404446
27800.000            -0.3035538323
28000.000            1.0626193111
28200.000            0.1693323740
28400.000            -0.2113067226
28600.000            0.3564627172
28800.000            -0.1973567504
29000.000            1.9148282807
29200.000            1.7230300152
29400.000            2.2773151800
29600.000            1.9821845475
29800.000            -0.8818355402
30000.000            1.6599225342
30200.000            0.0448214221
30400.000            -0.9386314910
30600.000            -0.6494680870
30800.000            0.6927843591
31000.000            1.6363883685
31200.000            1.8731342729
31400.000            -0.8609504242
31600.000            -0.7357463907
31800.000            0.9196207649
32000.000            -2.8793149216
32200.000            2.0668227437
32400.000            -0.2043571824
32600.000            0.8203490069
32800.000            2.4172405333
