# lambba_val.val 0.1875
#time (ps)      gradients (kcal/mol*lam)
0.000            -4.9512155302
200.000            -10.7793126490
400.000            -13.7013671739
600.000            -14.8780709501
800.000            -13.0405834787
1000.000            -7.5194091829
1200.000            1.0957009487
1400.000            11.8895445053
1600.000            12.8946932036
1800.000            11.2394544384
2000.000            3.7046784788
2200.000            7.4847331521
2400.000            0.5663708096
2600.000            -3.7691970034
2800.000            -16.3094268349
3000.000            -16.3350916970
3200.000            0.6290492409
3400.000            -6.3908768129
3600.000            -9.2312103043
3800.000            -10.7494273466
4000.000            -12.1078096002
4200.000            -7.0186884035
4400.000            -18.3429365642
4600.000            -19.6011974687
4800.000            -4.8172166248
5000.000            -0.5487536999
5200.000            -3.0287774524
5400.000            8.5993708205
5600.000            9.7732514423
5800.000            -0.5205484009
6000.000            -0.8767525755
6200.000            0.8096653410
6400.000            1.4613779389
6600.000            -0.4838798913
6800.000            -0.3195353038
7000.000            9.0114908769
7200.000            5.8564210878
7400.000            0.3828686935
7600.000            -5.1317747142
7800.000            -8.4950147398
8000.000            -8.3708825242
8200.000            -3.6898570428
8400.000            -1.4717356564
8600.000            -1.1991027975
8800.000            2.7851095303
9000.000            1.9082172677
9200.000            5.0801313819
9400.000            6.1184090867
9600.000            4.5682749342
9800.000            -0.6142647843
10000.000            -0.6438866049
10200.000            -1.8228050820
10400.000            -17.6409750676
10600.000            -17.3979006317
10800.000            -15.2359526766
11000.000            -16.0128554970
11200.000            -10.4181229906
11400.000            -0.0551002307
11600.000            14.4937259463
11800.000            8.7775274709
12000.000            -2.8075626925
12200.000            -12.7164652153
12400.000            -10.4525138477
12600.000            -4.6116556239
12800.000            0.9655996603
13000.000            6.1751925133
13200.000            10.0492053562
13400.000            7.9142197472
13600.000            2.4128483543
13800.000            -2.5894277077
14000.000            -3.9687018139
14200.000            -3.6289850650
14400.000            -4.6417904073
14600.000            -3.3709430600
14800.000            -0.0382266686
15000.000            3.3151149327
15200.000            2.0603089945
15400.000            -1.4577305027
15600.000            14.3428738030
15800.000            2.0083439538
16000.000            -3.8828886178
16200.000            -4.3955007491
16400.000            -5.3569764384
16600.000            -4.9154986480
16800.000            -3.5497484762
17000.000            -7.3809046635
17200.000            6.5622252303
17400.000            -1.8895202683
17600.000            -3.5510032049
17800.000            -3.4958024360
18000.000            2.3963284061
18200.000            5.4183225019
18400.000            -6.9933087151
18600.000            -7.9484680471
18800.000            -13.3300256520
19000.000            -5.3326661425
19200.000            1.1129113090
19400.000            -8.0088516360
19600.000            -3.7464978884
19800.000            -5.0967493589
20000.000            -1.9372024850
20200.000            1.2081146719
20400.000            6.2226438989
20600.000            9.7635558330
20800.000            8.5575799164
21000.000            -1.7479814212
21200.000            7.1404251956
21400.000            6.5741878786
21600.000            4.0116583188
21800.000            4.2654905812
22000.000            -1.0444256560
22200.000            -6.7659896369
22400.000            -3.2928756478
22600.000            -0.1567488220
22800.000            -9.8013401919
23000.000            -13.3761082750
23200.000            -15.1608973189
23400.000            -16.8693192891
23600.000            -9.2994502537
23800.000            -15.9567351037
24000.000            -11.2532849181
24200.000            -1.8421223238
24400.000            12.6813899769
24600.000            -4.1365889911
24800.000            -5.4679126488
25000.000            -2.4935339327
25200.000            2.5740252443
25400.000            6.3900427584
25600.000            6.4361823687
25800.000            9.2568751071
26000.000            -14.9485066599
26200.000            -9.2936899110
26400.000            0.0873954801
26600.000            8.1531164981
26800.000            20.4644481458
27000.000            17.0334031007
27200.000            10.2581740494
27400.000            5.3850651643
27600.000            -0.0414491128
27800.000            -2.5942612507
28000.000            -7.4672668115
28200.000            -5.1486493416
28400.000            3.0517421246
28600.000            1.4729400335
28800.000            -0.1044992143
29000.000            -1.5889659866
29200.000            -7.1158582730
29400.000            -8.4346311509
29600.000            -8.5054517770
29800.000            -4.8807940999
30000.000            -0.2625582615
30200.000            4.9717972971
30400.000            6.5071028560
30600.000            -0.7980150258
30800.000            -1.6998919558
31000.000            -4.3083508422
31200.000            -2.2210064499
31400.000            1.5260033991
31600.000            5.0775577679
31800.000            2.3525253166
32000.000            -0.2179752608
32200.000            0.1063229099
32400.000            0.3867462933
32600.000            0.4809938238
32800.000            4.6726452291
33000.000            -2.8493125907
33200.000            -9.1408701344
33400.000            8.2361279589
33600.000            2.5618772302
33800.000            -3.7035984183
34000.000            -3.7502691905
34200.000            -3.7415574098
34400.000            -0.7695617117
34600.000            10.7904911141
34800.000            10.6798186346
35000.000            6.8315347571
35200.000            -7.5520034872
35400.000            -13.4255558765
35600.000            -11.7754785833
35800.000            -1.9035084860
36000.000            9.1274103390
36200.000            15.1828550415
36400.000            14.9667001371
36600.000            17.9536867388
