# lambba_val.val 0.6250
#time (ps)      gradients (kcal/mol*lam)
0.000            0.0040473342
200.000            0.0044681750
400.000            0.0046232333
600.000            0.0047370068
800.000            0.0042059432
1000.000            0.0044944636
1200.000            0.0045343421
1400.000            0.0047610258
1600.000            0.0044898965
1800.000            0.0048202309
2000.000            0.0046400536
2200.000            0.0043626306
2400.000            0.0049398177
2600.000            0.0043522711
2800.000            0.0045875877
3000.000            0.0045677459
3200.000            0.0043611268
3400.000            0.0044467319
3600.000            0.0043465344
3800.000            0.0045642510
4000.000            0.0045771168
4200.000            0.0046533093
4400.000            0.0046465422
4600.000            0.0043902211
4800.000            0.0050183981
5000.000            0.0045067725
5200.000            0.0042791628
5400.000            0.0047764119
5600.000            0.0044603218
5800.000            0.0041508735
6000.000            0.0044357598
6200.000            0.0041729292
6400.000            0.0045813637
6600.000            0.0046328688
6800.000            0.0046540890
7000.000            0.0047830676
7200.000            0.0043065306
7400.000            0.0046458878
7600.000            0.0047234100
7800.000            0.0046276890
8000.000            0.0048337651
8200.000            0.0043790610
8400.000            0.0046156586
8600.000            0.0047625853
8800.000            0.0046453308
9000.000            0.0045498257
9200.000            0.0043117799
9400.000            0.0050490310
9600.000            0.0047640334
9800.000            0.0043948787
10000.000            0.0042512938
10200.000            0.0045973346
10400.000            0.0050151677
10600.000            0.0045275472
10800.000            0.0042284027
11000.000            0.0042855609
11200.000            0.0043701496
11400.000            0.0044623826
11600.000            0.0045910966
11800.000            0.0046129852
12000.000            0.0043208445
12200.000            0.0048613904
12400.000            0.0046649916
12600.000            0.0044601811
12800.000            0.0047665606
13000.000            0.0040002500
13200.000            0.0047864651
13400.000            0.0048899069
13600.000            0.0043656138
13800.000            0.0043068787
14000.000            0.0045775624
14200.000            0.0047021549
14400.000            0.0041840667
14600.000            0.0050736070
14800.000            0.0044516332
15000.000            0.0044868889
15200.000            0.0044702357
15400.000            0.0041820634
15600.000            0.0043979977
15800.000            0.0046942460
16000.000            0.0041651874
16200.000            0.0043988332
16400.000            0.0045954661
16600.000            0.0049920956
16800.000            0.0046273548
17000.000            0.0049519873
17200.000            0.0050117946
17400.000            0.0046288586
17600.000            0.0048903525
17800.000            0.0040335772
18000.000            0.0045406532
18200.000            0.0042946255
18400.000            0.0048659575
18600.000            0.0049461601
18800.000            0.0045666459
19000.000            0.0042633799
19200.000            0.0054301604
19400.000            0.0047935385
19600.000            0.0048518664
19800.000            0.0045756687
20000.000            0.0044413294
20200.000            0.0043939876
20400.000            0.0044672838
20600.000            0.0044508535
20800.000            0.0044124787
21000.000            0.0045125092
21200.000            0.0042689565
21400.000            0.0044237294
21600.000            0.0046076384
21800.000            0.0049375829
22000.000            0.0046587884
22200.000            0.0047379676
22400.000            0.0045533067
22600.000            0.0044390737
22800.000            0.0040939520
23000.000            0.0045153497
23200.000            0.0044881142
23400.000            0.0047236119
23600.000            0.0042957394
23800.000            0.0043198768
24000.000            0.0048672385
24200.000            0.0043546104
24400.000            0.0044490712
24600.000            0.0041468912
24800.000            0.0048522562
25000.000            0.0043541230
25200.000            0.0044053949
25400.000            0.0042229445
25600.000            0.0039352734
25800.000            0.0043147318
26000.000            0.0046694612
26200.000            0.0046420586
26400.000            0.0046335371
26600.000            0.0046185270
26800.000            0.0047058865
27000.000            0.0046082510
27200.000            0.0043283078
27400.000            0.0044104737
27600.000            0.0046609105
27800.000            0.0043987775
28000.000            0.0045073016
28200.000            0.0047605593
28400.000            0.0047165036
28600.000            0.0046682916
28800.000            0.0046038719
29000.000            0.0044661699
29200.000            0.0042765103
29400.000            0.0044214041
29600.000            0.0044580635
29800.000            0.0039483620
30000.000            0.0042756888
30200.000            0.0045135117
30400.000            0.0045776181
30600.000            0.0044107522
30800.000            0.0040375874
31000.000            0.0044843687
31200.000            0.0047106764
31400.000            0.0049057664
31600.000            0.0045437548
31800.000            0.0046216181
32000.000            0.0050249146
32200.000            0.0038913847
32400.000            0.0044936282
32600.000            0.0050483627
32800.000            0.0042599268
33000.000            0.0049642057
33200.000            0.0048709702
33400.000            0.0039432936
33600.000            0.0046788182
33800.000            0.0044417750
34000.000            0.0046856688
34200.000            0.0047759524
34400.000            0.0042346128
34600.000            0.0045116180
34800.000            0.0049603000
35000.000            0.0044755269
35200.000            0.0045773640
35400.000            0.0045782308
35600.000            0.0045419168
35800.000            0.0044414408
36000.000            0.0040629674
36200.000            0.0045840545
36400.000            0.0041498153
36600.000            0.0043991117
36800.000            0.0047191979
37000.000            0.0039070354
37200.000            0.0043435686
37400.000            0.0043343230
37600.000            0.0043438871
37800.000            0.0042596483
38000.000            0.0045200839
38200.000            0.0043723983
38400.000            0.0041870761
38600.000            0.0046083346
38800.000            0.0042006103
39000.000            0.0042456964
39200.000            0.0049236727
39400.000            0.0042347521
39600.000            0.0044497952
39800.000            0.0045601295
40000.000            0.0046390510
40200.000            0.0045096130
40400.000            0.0041073399
40600.000            0.0048914803
40800.000            0.0042940685
41000.000            0.0047843904
41200.000            0.0042719571
41400.000            0.0041315469
41600.000            0.0044831434
41800.000            0.0044772535
42000.000            0.0044784231
42200.000            0.0049447120
42400.000            0.0048533910
42600.000            0.0046079168
42800.000            0.0042605951
43000.000            0.0043830711
43200.000            0.0046399700
43400.000            0.0050481956
43600.000            0.0044155420
43800.000            0.0043047622
44000.000            0.0046322004
44200.000            0.0047353498
44400.000            0.0048721259
44600.000            0.0045664580
44800.000            0.0042541343
45000.000            0.0043376230
45200.000            0.0041695318
45400.000            0.0046811574
45600.000            0.0045895371
45800.000            0.0044014509
46000.000            0.0044504636
46200.000            0.0045533345
46400.000            0.0043918711
46600.000            0.0047862144
46800.000            0.0046856131
47000.000            0.0045029782
47200.000            0.0046970308
47400.000            0.0045278814
47600.000            0.0046939536
47800.000            0.0044444484
48000.000            0.0046073444
48200.000            0.0046360156
48400.000            0.0044075749
48600.000            0.0042874407
48800.000            0.0048539619
49000.000            0.0046878409
49200.000            0.0042511824
49400.000            0.0044684117
49600.000            0.0044367066
49800.000            0.0046059396
50000.000            0.0045834523
50200.000            0.0046858080
50400.000            0.0040828684
50600.000            0.0051022210
50800.000            0.0044655016
51000.000            0.0046804890
51200.000            0.0047625052
51400.000            0.0049918658
51600.000            0.0044935725
51800.000            0.0046632789
52000.000            0.0046138763
