# lambba_val.val 0.3750
#time (ps)      gradients (kcal/mol*lam)
0.000            -0.4275354608
200.000            -4.3842870954
400.000            0.1099811328
600.000            6.3392883035
800.000            3.3083825919
1000.000            3.7033104100
1200.000            1.4513744500
1400.000            -1.0466121241
1600.000            10.8859660710
1800.000            2.9768335819
2000.000            7.5646441717
2200.000            6.9134789365
2400.000            2.7563320408
2600.000            -3.0215125501
2800.000            -7.3875535574
3000.000            -7.3455481059
3200.000            -7.1745216282
3400.000            -3.5795268073
3600.000            -12.9792638986
3800.000            -7.3733751646
4000.000            2.6094251621
4200.000            11.9235995465
4400.000            15.9839645370
4600.000            12.9250175039
4800.000            1.5436651748
5000.000            -2.5870603272
5200.000            -5.3494868544
5400.000            -6.3019795306
5600.000            -4.9822840099
5800.000            -2.4283798071
6000.000            -0.5428181797
6200.000            -3.3569747434
6400.000            -3.1101638027
6600.000            -1.2176748163
6800.000            -3.5883093982
7000.000            -3.9612937970
7200.000            -7.9878619859
7400.000            -2.1016318911
7600.000            -0.6275208249
7800.000            3.0566591027
8000.000            -2.4297204140
8200.000            1.1270239737
8400.000            3.8006387529
8600.000            -4.6591132716
8800.000            -3.9348896062
9000.000            -9.5333493785
9200.000            -2.1780384764
9400.000            10.4229249860
9600.000            13.7335332136
9800.000            12.9197952494
10000.000            -4.0872684161
10200.000            -10.6031067314
10400.000            -11.9660960020
10600.000            -9.8665375769
10800.000            -7.1331420289
11000.000            -1.4004573945
11200.000            -1.3562996317
11400.000            -2.8942687864
11600.000            12.1437617670
11800.000            9.4644739703
12000.000            -10.1601162810
12200.000            -12.1347023281
12400.000            -7.5937322449
12600.000            -0.3718562103
12800.000            6.4314485683
13000.000            10.3755473696
13200.000            2.8268146747
13400.000            1.1621893896
13600.000            -1.0303083837
13800.000            10.5464628377
14000.000            15.3911134393
14200.000            14.9685573538
14400.000            10.2459479905
14600.000            3.8336301952
14800.000            -2.1829617106
15000.000            -0.6418175093
15200.000            -1.0594849147
15400.000            -0.8350014498
15600.000            -2.3756059500
15800.000            -6.5991790927
16000.000            -0.0606129346
16200.000            8.0788929415
16400.000            7.1062538671
16600.000            3.6603122766
16800.000            -0.3092376542
17000.000            -1.7589708854
17200.000            7.4102965306
17400.000            4.9503076294
17600.000            8.1329734741
17800.000            9.2586549966
18000.000            3.5872637079
18200.000            5.6447265930
18400.000            -11.7905876896
18600.000            -12.9046787899
18800.000            -9.9283172064
19000.000            -2.3797298973
19200.000            0.7651903410
19400.000            4.1983338411
19600.000            5.7331951659
19800.000            -2.5328295225
20000.000            -5.4237313854
20200.000            -4.9989513305
20400.000            1.1272054495
20600.000            1.5228690383
20800.000            4.5647919725
21000.000            6.0763425562
21200.000            24.9173592708
21400.000            -1.6228971382
21600.000            -2.5023430485
21800.000            -2.4627407117
22000.000            -2.4140191201
22200.000            -12.7260977294
22400.000            -8.6542089106
22600.000            -5.2438127126
22800.000            -2.8338341343
23000.000            1.4679795174
23200.000            0.2438559381
23400.000            5.4197916594
23600.000            9.6655188196
23800.000            12.9110565049
24000.000            12.7446436265
24200.000            7.8125346571
24400.000            10.7517113454
24600.000            8.2365621535
24800.000            2.3565330538
25000.000            -4.2665698649
25200.000            -10.7098094910
25400.000            -1.2113381369
25600.000            3.0165575904
25800.000            4.6912454925
26000.000            10.9366083896
26200.000            9.2255371919
26400.000            11.7139298087
26600.000            6.8261095187
26800.000            0.5401119412
27000.000            -5.7125806002
27200.000            -8.7095996174
27400.000            -5.1883947100
27600.000            -4.0036492015
27800.000            -1.1629435729
28000.000            -6.5595074520
28200.000            -2.5921074214
28400.000            0.0142000065
28600.000            -4.7885697495
28800.000            -1.3514596309
29000.000            3.1903569183
29200.000            9.2941663272
29400.000            7.8700573175
29600.000            -2.8311237566
29800.000            -4.6537015476
30000.000            -2.2988046520
30200.000            -2.6106723123
30400.000            12.3487941855
30600.000            -4.3942937036
30800.000            4.2213724130
31000.000            7.5736676155
31200.000            1.9289547090
31400.000            5.2198371236
31600.000            6.0336603138
31800.000            7.8166765842
32000.000            6.0581732734
32200.000            1.6354595941
32400.000            -9.9342757890
32600.000            4.4120304759
32800.000            9.0847771970
33000.000            9.3271105608
33200.000            17.0226999251
33400.000            8.9276425152
33600.000            8.1239901764
33800.000            -0.6846817019
34000.000            -7.8494257801
34200.000            -0.3227790802
34400.000            2.8705911148
34600.000            6.6199939264
34800.000            3.0373491607
35000.000            -10.1013667036
35200.000            -1.6509189322
35400.000            6.5583732209
35600.000            12.6948955519
35800.000            -3.9223870551
36000.000            -1.7359332979
36200.000            3.4246400995
36400.000            6.7240949578
36600.000            5.4914051621
36800.000            9.3446323469
37000.000            9.5409916660
37200.000            5.8053515957
37400.000            -2.6349096988
37600.000            -4.9372847920
37800.000            -9.4087380782
38000.000            -7.6411068963
38200.000            -11.2332722948
38400.000            -4.1265486887
38600.000            5.0260611379
38800.000            -5.3390603370
39000.000            10.5884577931
39200.000            9.1303159797
39400.000            6.9506041759
39600.000            5.1577708795
39800.000            2.6805730945
40000.000            1.1473722409
40200.000            0.3774968471
40400.000            -2.8243531021
40600.000            -3.2497029292
40800.000            -4.3535102413
41000.000            7.5352197489
41200.000            7.5929713073
41400.000            5.3681225910
41600.000            10.7372076921
41800.000            2.0328614380
42000.000            5.8453513492
42200.000            5.3343995645
42400.000            2.0856937767
42600.000            -2.1893413944
42800.000            -5.3341892808
43000.000            -5.7832562852
43200.000            -3.3383282439
43400.000            0.7678658206
43600.000            11.1088554392
43800.000            13.2271902605
44000.000            10.3396048687
44200.000            3.8266287332
44400.000            -4.0970609513
44600.000            -10.1411925836
44800.000            -5.4306165127
45000.000            -0.5328811216
45200.000            -3.4338263396
45400.000            -5.1276344890
45600.000            -4.9627276645
45800.000            -3.3788485150
46000.000            -1.9181801006
46200.000            -4.1419526524
46400.000            -3.3843623417
46600.000            -0.9933863239
46800.000            -1.7634685710
47000.000            -2.6280390466
47200.000            -9.1247780120
47400.000            -1.0637693456
47600.000            0.2996870305
47800.000            5.2898552843
48000.000            2.6287254145
48200.000            5.2542721296
48400.000            6.1384967245
48600.000            0.3857957534
48800.000            10.8263764498
49000.000            7.2780501181
49200.000            1.0314594026
49400.000            -5.5454747301
49600.000            -7.0481418833
49800.000            -2.6231329264
50000.000            -1.9108517947
50200.000            -1.0932609316
50400.000            0.2694952698
50600.000            -3.2228460956
50800.000            -0.5965137385
51000.000            6.2936749214
51200.000            4.1020032979
51400.000            13.2847892400
51600.000            -2.1289664811
51800.000            0.1969862867
52000.000            10.8790306395
52200.000            8.0878811611
52400.000            -0.4692316694
52600.000            -6.7656848942
52800.000            -3.2288817563
53000.000            -3.2471442172
53200.000            0.9604367296
53400.000            2.7792071819
53600.000            3.3643967314
53800.000            10.5489183914
54000.000            13.3375132258
54200.000            10.0807550317
54400.000            8.4101817016
54600.000            0.9058040665
