# lambba_val.val 0.0000
#time (ps)      gradients (kcal/mol*lam)
0.000            5.4565274461
200.000            12.7367118957
400.000            14.8555999860
600.000            10.6536405310
800.000            4.3171374833
1000.000            1.2228817477
1200.000            3.7177354612
1400.000            2.2583122341
1600.000            6.2442950405
1800.000            1.6931103781
2000.000            -3.3468430716
2200.000            -6.6233217238
2400.000            -0.8683952427
2600.000            -11.0716920106
2800.000            -8.2849766897
3000.000            -1.6947233440
3200.000            8.4170934724
3400.000            10.7560146871
3600.000            10.1750200314
3800.000            3.0068768001
4000.000            -5.9230569603
4200.000            -11.3820083176
4400.000            -10.6958449340
4600.000            8.4442411903
4800.000            5.2614747669
5000.000            2.2385521043
5200.000            -0.0140937607
5400.000            -7.6229382065
5600.000            -11.8847537176
5800.000            -12.5913919680
6000.000            -6.6380362479
6200.000            2.3432342935
6400.000            20.9053128691
6600.000            7.1267230411
6800.000            7.2153522874
7000.000            -5.4631290126
7200.000            -9.0303117481
7400.000            3.9740486577
7600.000            7.8696056887
7800.000            8.6006255492
8000.000            -3.3078325369
8200.000            -1.0946035073
8400.000            -1.6275813045
8600.000            -3.1031591088
8800.000            -0.1149278985
9000.000            -8.4078826999
9200.000            1.3933523353
9400.000            2.2632509338
9600.000            7.1918546624
9800.000            6.7240989902
10000.000            5.7816009910
10200.000            3.0925545491
10400.000            -0.2884617320
10600.000            -0.9076664364
10800.000            0.5369085024
11000.000            -2.5933772360
11200.000            4.6930273804
11400.000            6.4657397421
11600.000            6.1926659699
11800.000            10.7605772884
12000.000            10.0922081744
12200.000            4.3327217308
12400.000            1.9780844150
12600.000            8.0622630274
12800.000            10.1259146502
13000.000            9.1839585225
13200.000            -6.0236202901
13400.000            -11.7219246940
13600.000            -12.0133059773
13800.000            -8.7986724277
14000.000            0.1311109314
14200.000            9.0955004160
14400.000            4.0680033049
14600.000            -0.7914459912
14800.000            -6.0040865143
15000.000            -11.1907768474
15200.000            -6.8078518196
15400.000            -5.1306697002
15600.000            1.4231502710
15800.000            0.9436800736
16000.000            0.0812338899
16200.000            8.3094152871
16400.000            13.7127737661
16600.000            13.1215702596
16800.000            1.4630956109
17000.000            0.6146191255
17200.000            -3.1002896411
17400.000            -2.2826047044
17600.000            10.5431106680
17800.000            12.3809974063
18000.000            10.9146233297
18200.000            8.7101857979
18400.000            13.0348801826
18600.000            8.4931184444
18800.000            2.8039143667
