# lambba_val.val 0.8750
#time (ps)      gradients (kcal/mol*lam)
0.000            -10.2838959581
200.000            -10.4125622517
400.000            -6.4320189750
600.000            0.1222580771
800.000            4.3888457177
1000.000            7.6526808924
1200.000            4.2725697974
1400.000            -0.7322558148
1600.000            -7.4113602540
1800.000            -7.5209633173
2000.000            -4.7696440182
2200.000            -0.1675493249
2400.000            1.0112449577
2600.000            5.7482153282
2800.000            7.6683792035
3000.000            5.8477378243
3200.000            9.8643900867
3400.000            -2.0618319489
3600.000            -6.5558803082
3800.000            -3.3445225440
4000.000            -5.9866415810
4200.000            -5.2970419403
4400.000            -8.1334543971
4600.000            -3.2519580726
4800.000            -5.1627935124
5000.000            -5.0082413515
5200.000            2.4373885623
5400.000            -4.6686814393
5600.000            -8.9637115030
5800.000            -11.4383568380
6000.000            -8.6745972587
6200.000            -1.7411998495
6400.000            5.6449357915
6600.000            11.6693403004
6800.000            13.3056155779
7000.000            12.8834006453
7200.000            6.7288042080
7400.000            -2.5933772360
7600.000            -0.9386870136
7800.000            -0.5470007160
8000.000            0.1240817489
8200.000            -0.5834746232
8400.000            -1.3098872888
8600.000            -4.3618940871
8800.000            -9.9070792672
9000.000            -11.7812389260
9200.000            -7.5296893716
9400.000            8.2784178725
9600.000            -1.5438685204
9800.000            -3.4887588709
10000.000            -2.4355991551
10200.000            -3.8657609099
10400.000            -4.4452156573
10600.000            -2.1921103486
10800.000            -1.9613693046
11000.000            0.5090928542
11200.000            -5.1018680638
11400.000            7.7434630845
11600.000            -4.6403075456
11800.000            -1.7563189241
12000.000            -0.2266510708
12200.000            1.2582751484
12400.000            1.7319738784
12600.000            -10.0608971221
12800.000            -6.9689984429
13000.000            -5.8337219729
13200.000            -8.1162447069
13400.000            -2.0791842260
13600.000            -3.8216423622
13800.000            -6.2634082014
14000.000            -6.7299448435
14200.000            -5.4058251574
14400.000            -3.3664445858
14600.000            8.2994773187
14800.000            14.1184491578
15000.000            -7.8826234619
15200.000            -9.5327149871
15400.000            -7.4099629088
15600.000            -3.9138325557
15800.000            -11.9436117547
16000.000            -10.6124057423
16200.000            -8.1902876950
16400.000            10.1775580121
16600.000            2.4591323720
16800.000            -6.2713143739
17000.000            -3.5046389780
17200.000            -8.6886273422
17400.000            -6.8906636766
17600.000            -4.5290184469
17800.000            5.1389822556
18000.000            -0.8320807410
18200.000            -0.5436721418
18400.000            3.6359466478
18600.000            3.5794234355
18800.000            3.5215635064
19000.000            2.1573550100
19200.000            -4.5006195998
19400.000            -4.4217786784
19600.000            0.8644291163
19800.000            3.6973640017
20000.000            4.2749972607
20200.000            3.6888482727
20400.000            3.1973187264
20600.000            1.5872300502
20800.000            -1.1789891033
21000.000            8.4607094526
21200.000            8.0213133531
21400.000            -1.8954160462
21600.000            1.4829787230
21800.000            0.1648580567
22000.000            8.7120964439
22200.000            14.8802381872
22400.000            16.8980638967
22600.000            14.8152777057
22800.000            5.4626798744
23000.000            -8.6960701445
23200.000            -9.1361649166
23400.000            -6.1458704423
23600.000            -9.8679546690
23800.000            4.3343257840
24000.000            1.4505951471
24200.000            3.3545104370
24400.000            1.0156714714
24600.000            9.9233906810
24800.000            14.4372633327
25000.000            15.5519152331
25200.000            11.3993178097
25400.000            4.6013469178
25600.000            -3.1895996691
25800.000            -10.7442088280
26000.000            -16.1168835894
26200.000            -15.1099669209
26400.000            -15.6886231997
26600.000            15.5891007213
26800.000            11.9902931891
27000.000            1.4050378510
27200.000            2.8702044728
27400.000            4.0094981977
27600.000            -8.7596333994
27800.000            -11.7335594133
28000.000            5.1377631780
28200.000            13.2335259318
28400.000            12.7425863316
28600.000            8.9980453728
28800.000            0.1994904629
29000.000            0.9691586507
29200.000            7.8747672200
29400.000            7.3222605215
29600.000            11.8329963218
29800.000            11.2698245183
30000.000            2.2697500181
30200.000            -8.3272380800
30400.000            -0.0256024840
30600.000            0.1435403442
30800.000            -5.3960297462
31000.000            -12.5281138868
31200.000            -5.6788418770
31400.000            -1.9032589693
31600.000            8.3178989230
31800.000            6.9296171943
32000.000            8.2894965357
32200.000            12.2038815895
32400.000            1.9830952947
32600.000            -9.2094807681
32800.000            -8.4755665339
33000.000            -10.9851160268
33200.000            -20.4642200187
33400.000            -16.5884320303
33600.000            -2.3965761437
33800.000            -7.4193020658
34000.000            -11.5389059180
34200.000            -13.6495242082
34400.000            2.6660924615
34600.000            -0.4144911515
34800.000            -6.9014999214
