# lambba_val.val 0.2500
#time (ps)      gradients (kcal/mol*lam)
0.000            0.0069580196
200.000            0.0080844203
400.000            0.0076887543
600.000            0.0094211300
800.000            0.0082982939
1000.000            0.0090147703
1200.000            0.0077279644
1400.000            0.0078313366
1600.000            0.0072253615
1800.000            0.0084123598
2000.000            0.0086155396
2200.000            0.0085870231
2400.000            0.0077315290
2600.000            0.0078206429
2800.000            0.0084016661
3000.000            0.0084408762
3200.000            0.0084872155
3400.000            0.0077921264
3600.000            0.0081093723
3800.000            0.0082662128
4000.000            0.0087937676
4200.000            0.0084230534
4400.000            0.0085050383
4600.000            0.0077315290
4800.000            0.0079632253
5000.000            0.0089898183
5200.000            0.0086119751
5400.000            0.0082876002
5600.000            0.0083375040
5800.000            0.0082127444
6000.000            0.0078277720
6200.000            0.0078562885
6400.000            0.0088008967
6600.000            0.0092999350
6800.000            0.0089791247
7000.000            0.0089399145
7200.000            0.0079275797
7400.000            0.0081236305
7600.000            0.0073536857
7800.000            0.0082483900
8000.000            0.0079240152
8200.000            0.0077315290
8400.000            0.0069794070
8600.000            0.0087688157
8800.000            0.0089363499
9000.000            0.0087117827
9200.000            0.0090504159
9400.000            0.0077707391
9600.000            0.0082911648
9800.000            0.0086939600
10000.000            0.0084052306
10200.000            0.0075960757
10400.000            0.0083767141
10600.000            0.0089220917
10800.000            0.0078384657
11000.000            0.0085941523
11200.000            0.0087973321
11400.000            0.0083018585
11600.000            0.0083588914
11800.000            0.0085442484
12000.000            0.0087224764
12200.000            0.0084373117
12400.000            0.0079846126
12600.000            0.0090432868
12800.000            0.0083339395
13000.000            0.0081770988
13200.000            0.0081165014
13400.000            0.0091003197
13600.000            0.0098666999
13800.000            0.0079667898
14000.000            0.0083838433
14200.000            0.0083481977
14400.000            0.0073750730
14600.000            0.0086084105
14800.000            0.0084765219
15000.000            0.0080202582
15200.000            0.0082733420
15400.000            0.0090646741
15600.000            0.0093355806
15800.000            0.0079454025
16000.000            0.0096350036
16200.000            0.0090682387
16400.000            0.0089719955
16600.000            0.0082163090
16800.000            0.0089149626
17000.000            0.0068689056
17200.000            0.0080166937
17400.000            0.0089007044
