# lambba_val.val 0.6250
#time (ps)      gradients (kcal/mol*lam)
0.000            55.1394537081
200.000            9.8688386541
400.000            6.0787070251
600.000            -9.7211233029
800.000            -23.0427936442
1000.000            -27.4123159232
1200.000            -20.8132616570
1400.000            -16.8118300739
1600.000            -4.3722384384
1800.000            -6.4064753221
2000.000            -3.6884775587
2200.000            3.1251399643
2400.000            8.8459385008
2600.000            10.9781865253
2800.000            -1.2834770257
3000.000            1.6422704067
3200.000            3.2579964315
3400.000            9.1215359624
3600.000            13.5146983643
3800.000            13.9466088469
4000.000            2.1286977335
4200.000            14.2661074031
4400.000            10.1037288598
4600.000            12.7288698858
4800.000            16.7845112755
5000.000            17.8296970804
5200.000            13.9552208080
5400.000            14.0980883842
5600.000            11.1577262296
5800.000            2.0682722195
6000.000            1.3119008203
6200.000            -2.9878010635
6400.000            3.5577081373
6600.000            7.3814036730
6800.000            7.0623043244
7000.000            10.3216802577
7200.000            5.2021248541
7400.000            -0.7303387526
7600.000            1.2377156605
7800.000            -1.3425199365
8000.000            -3.6667444408
8200.000            -0.8868552022
8400.000            4.5758104165
8600.000            4.5659936158
8800.000            1.6659484401
9000.000            1.8487105182
9200.000            0.8784076444
9400.000            -2.8445129139
9600.000            -3.0193420634
9800.000            -2.1392702178
10000.000            0.5365441377
10200.000            3.1899400867
10400.000            -0.5019928095
10600.000            6.4915756254
10800.000            4.4895872914
11000.000            7.3790225408
11200.000            5.8546245528
11400.000            -0.5127070386
11600.000            -2.0641105929
11800.000            -0.1812742198
12000.000            3.6866382447
12200.000            6.4513816703
12400.000            -1.0679167699
12600.000            -3.3325705756
12800.000            -3.9952043122
13000.000            -3.1313708169
13200.000            1.9839044491
13400.000            4.4318842048
13600.000            1.5538827071
13800.000            2.4179617162
14000.000            2.0542982516
14200.000            0.0807729267
14400.000            -1.6476903200
14600.000            0.8337622103
14800.000            -1.4383820750
15000.000            -14.9269482042
15200.000            -13.0773126534
15400.000            -5.7759190844
15600.000            3.4829058601
15800.000            9.0480205071
16000.000            10.4611258088
16200.000            7.9184972341
16400.000            -2.1899537914
16600.000            -4.6892917235
16800.000            -9.2332920308
17000.000            -10.6668436760
17200.000            -4.8675553274
17400.000            1.3409092062
17600.000            6.7637796445
17800.000            4.6800167410
18000.000            -5.6490564181
18200.000            -0.7646065325
18400.000            -1.6516211390
18600.000            -2.1716595813
18800.000            -3.5509960711
19000.000            -9.6012685742
19200.000            -13.9597264220
19400.000            -11.8949626277
19600.000            -5.2391748833
19800.000            0.8853322477
20000.000            6.1653971021
20200.000            3.9577514877
20400.000            -8.2812695502
20600.000            -8.6862319780
20800.000            -10.8942910794
21000.000            -9.2019523959
21200.000            -6.1265576183
21400.000            -19.1358086374
21600.000            -18.1525606151
21800.000            -19.8490626923
22000.000            -16.9330251012
22200.000            -11.6544832191
22400.000            6.8170911747
22600.000            13.8445198645
22800.000            4.2686737340
23000.000            5.3673778245
23200.000            4.8232122106
23400.000            4.7887999581
23600.000            4.1360329172
23800.000            3.7515060937
24000.000            3.2979266261
24200.000            -2.4127218141
24400.000            -9.9691310837
24600.000            -2.6010784677
24800.000            0.9202909913
25000.000            -1.9102677846
25200.000            -2.9205217919
25400.000            -5.4816861056
25600.000            -3.4107556213
25800.000            0.1111623876
26000.000            -0.2375372136
26200.000            3.7874225915
26400.000            7.5606012163
26600.000            1.2173669307
26800.000            -4.9035431157
27000.000            -8.8412760383
27200.000            -1.4345564125
27400.000            0.6603155454
27600.000            -5.4505033429
27800.000            0.7606751560
28000.000            2.1749897744
28200.000            -0.0271840492
28400.000            -2.1643459997
28600.000            -3.2596432636
28800.000            -3.6541579802
29000.000            -6.5303152480
29200.000            9.9493977041
29400.000            9.7826618779
29600.000            6.0704015857
29800.000            1.3784346553
30000.000            -3.3015410916
30200.000            -7.1792503881
30400.000            -9.4809290680
30600.000            -9.5071642182
30800.000            -2.4877040964
31000.000            7.9101561554
31200.000            6.7032249158
31400.000            12.8414814160
31600.000            13.9002410502
31800.000            6.2680136173
32000.000            6.3838332775
32200.000            3.4323639779
32400.000            4.4771327200
32600.000            2.5197566121
32800.000            -2.5424610759
33000.000            5.1085409208
33200.000            -4.7437510586
33400.000            -6.8518384841
33600.000            -6.0875827526
33800.000            -0.4887815504
34000.000            3.9195501075
34200.000            6.5345927349
34400.000            6.7522732504
34600.000            8.4546639362
34800.000            7.5946926677
35000.000            2.8675720450
35200.000            -7.8873429710
35400.000            12.1807832314
35600.000            3.7227294048
35800.000            -0.0907610700
36000.000            -2.6692257134
36200.000            5.1295860757
36400.000            9.1606320373
36600.000            2.3596294863
36800.000            -8.3734490282
37000.000            -5.2909750581
37200.000            -6.1308992678
37400.000            -5.7900775109
37600.000            -3.8076407723
37800.000            1.1251009874
38000.000            6.1838115904
38200.000            7.9299322903
38400.000            5.9903059059
38600.000            -0.6306169194
38800.000            -8.1889759790
39000.000            -8.9888487730
39200.000            -8.3491957433
39400.000            -15.4125837159
39600.000            -18.1021434586
39800.000            -8.3835010898
40000.000            -1.6703052229
40200.000            4.9779568533
40400.000            9.6690807334
40600.000            10.4779505234
40800.000            2.7409678141
41000.000            6.3993747401
41200.000            0.2046507157
41400.000            4.3075131704
41600.000            0.0957551488
41800.000            1.9475815861
42000.000            -2.6054183204
42200.000            2.4370196332
42400.000            4.4138617963
42600.000            -0.0350824772
42800.000            4.5874451358
43000.000            0.7664130951
43200.000            0.9489623041
43400.000            1.1063641027
43600.000            3.2947612988
43800.000            3.4734134422
44000.000            2.5306499095
44200.000            -5.3682760890
44400.000            -9.9747488692
44600.000            -0.9032009388
44800.000            1.2516357069
45000.000            3.3722191723
45200.000            -3.8758450469
45400.000            -17.0198862587
45600.000            -12.6470846304
45800.000            -9.4048471087
46000.000            -7.1015857711
46200.000            -1.7350679152
46400.000            3.8640998279
46600.000            8.2729284715
46800.000            8.4287424830
47000.000            -6.9356056641
47200.000            -7.5371321739
47400.000            4.6964850033
47600.000            11.0966724914
47800.000            0.0221722650
48000.000            -3.9788750669
48200.000            -9.8258358359
48400.000            -5.9558651775
48600.000            0.5672877922
48800.000            7.2556032891
49000.000            16.8305938985
49200.000            18.5076477105
49400.000            14.4844865912
49600.000            4.1514745898
49800.000            -7.9972312080
50000.000            4.1295133388
50200.000            8.1275800205
50400.000            3.8470648000
50600.000            2.2265947870
50800.000            -0.7220863511
51000.000            -2.9130166119
51200.000            -3.5956065301
51400.000            -5.1367080650
51600.000            -1.7161365385
51800.000            -4.7560202701
52000.000            6.0449649100
52200.000            1.5931623688
52400.000            -2.7541442088
52600.000            -10.3770307591
52800.000            -10.4339781502
53000.000            -12.0317561642
53200.000            -16.0595084674
53400.000            -13.7586853086
53600.000            1.0291330280
53800.000            13.8739489127
54000.000            20.6452426381
54200.000            18.0690643768
54400.000            6.2105743327
54600.000            -3.4292628132
54800.000            -15.6061535630
55000.000            -11.5405884369
55200.000            -13.4037122471
55400.000            -12.5514688953
55600.000            -9.2427024664
55800.000            -4.1572812576
56000.000            0.3964621120
56200.000            4.4037954790
56400.000            9.9043987293
56600.000            6.7880899167
56800.000            2.5284345326
57000.000            -2.8731505799
57200.000            -6.9982278280
57400.000            18.9069924121
57600.000            12.6460865521
57800.000            13.6957209244
58000.000            6.2999021330
58200.000            2.7227796501
58400.000            -0.0895037013
58600.000            -0.1580570832
58800.000            -4.9442931566
59000.000            -1.0667480380
59200.000            -1.8913194777
59400.000            -3.1003965767
59600.000            -2.8107939614
59800.000            3.0453401796
60000.000            2.8321171562
60200.000            3.7090201105
60400.000            3.1455042900
60600.000            1.3734407058
60800.000            1.7952804473
61000.000            -5.5783997268
61200.000            -2.7497330657
61400.000            -0.2463388487
61600.000            5.1068156703
61800.000            9.1376762957
62000.000            8.6716315471
62200.000            -10.1098313635
62400.000            -5.8339429780
62600.000            -1.7162078349
62800.000            5.9241120674
63000.000            -3.1537402060
63200.000            -4.7972836058
63400.000            -4.0100649634
63600.000            -11.4331383194
63800.000            -10.8137320294
64000.000            -6.0989394142
64200.000            -11.2981128124
64400.000            4.6628569517
64600.000            10.3291230600
64800.000            6.9669167164
65000.000            3.9079296439
65200.000            3.0209015585
65400.000            4.9550581287
65600.000            1.7719388228
65800.000            0.0406078337
66000.000            -2.5596066035
66200.000            -4.3330104625
66400.000            -10.0340916245
66600.000            -2.3097577356
66800.000            -1.3348169258
67000.000            4.8291151224
67200.000            6.8362257429
67400.000            11.6228299465
67600.000            13.5186336309
67800.000            12.4981715971
68000.000            8.6262903520
68200.000            3.1870866597
68400.000            2.2219911620
68600.000            0.8145298505
68800.000            10.9085492900
69000.000            15.0605193787
69200.000            11.0784504316
69400.000            5.7967004610
69600.000            11.4462558945
69800.000            0.9567898507
70000.000            -11.1651405086
70200.000            -16.4935291998
70400.000            -21.2649626251
70600.000            -22.2608719683
70800.000            -21.8257105411
71000.000            -5.8357822921
71200.000            1.8654443437
71400.000            9.8001424505
71600.000            15.6557151984
71800.000            11.0809313657
72000.000            0.4284454537
72200.000            9.5777139619
72400.000            12.0618125471
72600.000            12.7838211203
72800.000            1.6011313816
73000.000            -5.3762393141
73200.000            -10.2859205787
73400.000            -10.4262216509
73600.000            1.3413160101
73800.000            -9.8461110396
74000.000            -13.0663623747
74200.000            -12.5845479771
74400.000            -4.5394519083
74600.000            4.1352166349
74800.000            0.6050975202
75000.000            0.6421987313
75200.000            1.6009549403
75400.000            0.6665315790
75600.000            1.1986126712
75800.000            1.7341651913
76000.000            -1.2098225416
76200.000            3.0059001114
76400.000            -2.3829506167
76600.000            6.5818873313
76800.000            0.6983556296
77000.000            -1.4930686535
77200.000            -1.3295039542
77400.000            -1.3675792388
77600.000            -0.9172802769
77800.000            2.3347132155
78000.000            2.0418142792
78200.000            3.7790636991
78400.000            5.1385473790
78600.000            5.9392971133
78800.000            3.1168167171
79000.000            2.3062519908
79200.000            6.2541189750
79400.000            4.6882651279
79600.000            0.4909598304
79800.000            -0.3093845807
80000.000            1.1600949314
80200.000            7.5765847011
80400.000            10.1644404370
80600.000            7.6127721110
80800.000            2.3121139084
81000.000            -3.6729075610
81200.000            -4.9899765483
81400.000            -3.5246646770
81600.000            -3.3788314247
81800.000            -10.2692099573
82000.000            -14.5394663490
82200.000            1.2771018132
82400.000            5.4999223915
82600.000            11.8635945288
82800.000            11.3708868991
83000.000            9.7245168047
83200.000            7.1078879379
83400.000            0.1934052001
83600.000            -4.0575377622
83800.000            -7.1480818930
84000.000            -8.3050808129
84200.000            -7.1091568986
84400.000            -5.2694023467
84600.000            2.6304237013
84800.000            8.6924200516
85000.000            -0.5535805029
85200.000            8.5959916100
85400.000            12.9656992015
85600.000            9.4464526410
85800.000            3.4948578285
86000.000            -4.3267831798
86200.000            0.0046753023
86400.000            -2.5069901464
86600.000            -3.7388590403
86800.000            3.0756567531
87000.000            3.3484007877
87200.000            3.1793818640
87400.000            3.4964725734
87600.000            1.8217731434
