# lambba_val.val 0.1875
#time (ps)      gradients (kcal/mol*lam)
0.000            -0.4326020362
200.000            3.0722508161
400.000            3.7575515863
600.000            3.7288497578
800.000            2.0122221975
1000.000            -0.5435525064
1200.000            -2.7289766365
1400.000            -3.4431859788
1600.000            -2.3691129973
1800.000            -0.0006273624
2000.000            2.4925964531
2200.000            3.8951364458
2400.000            4.5040914844
2600.000            4.7668707884
2800.000            -6.1708650958
3000.000            2.0482884041
3200.000            2.4830363087
3400.000            6.7437896145
3600.000            5.2192989050
3800.000            5.9146374692
4000.000            3.0004819830
4200.000            1.0593370976
4400.000            5.6414567791
4600.000            24.3765234053
4800.000            24.7954802773
5000.000            22.1709095987
5200.000            3.2656352855
5400.000            -3.9815484888
5600.000            13.5334265496
5800.000            12.6637596125
6000.000            17.3981858054
6200.000            1.9757852710
6400.000            4.4630919210
6600.000            1.9762771823
6800.000            0.8159703779
7000.000            -0.3072151008
7200.000            -0.1255295175
7400.000            -2.2232227163
7600.000            1.7576271177
7800.000            -4.4463242352
8000.000            -2.2989553393
8200.000            -11.0745579203
8400.000            -5.4615534769
8600.000            9.9180367212
8800.000            12.4204998641
9000.000            12.3394845599
9200.000            -4.3876088146
9400.000            -6.3709010742
9600.000            -5.9394896011
9800.000            -2.4505061433
10000.000            3.7242586035
10200.000            3.1879207676
10400.000            4.0271392005
10600.000            -6.4155721200
10800.000            -0.4676986861
11000.000            -6.8935153543
11200.000            -1.8532357250
11400.000            8.4028138545
11600.000            8.8015810927
11800.000            2.4225599983
12000.000            -4.6711908907
12200.000            -6.3785648283
12400.000            -11.6978924202
12600.000            5.6727108382
12800.000            7.1313926196
13000.000            -3.8423025474
13200.000            -4.2036419146
13400.000            1.2839185854
13600.000            3.9565324102
13800.000            -4.6420684413
14000.000            -1.6516313861
14200.000            -4.9786483803
14400.000            -1.5844822187
14600.000            10.4016547283
14800.000            -0.8436741341
15000.000            -4.1769291088
15200.000            -5.8410150664
15400.000            0.7082494017
15600.000            0.2332647553
15800.000            -2.1361476637
16000.000            -4.4582868953
16200.000            -4.2119259526
16400.000            -1.8020272693
16600.000            -6.1530066636
16800.000            -3.5773631163
17000.000            5.2435236488
17200.000            1.2940134201
17400.000            -1.0720554414
17600.000            -1.5170835347
17800.000            -4.5509796919
18000.000            -5.6032161897
18200.000            -5.1930423593
18400.000            -2.6003958535
18600.000            1.5922101828
18800.000            0.9280900265
19000.000            -2.9213202486
19200.000            -12.0393058844
19400.000            4.2455183590
19600.000            -4.8629356617
19800.000            -2.5691917013
20000.000            -2.6480896575
20200.000            -1.5593877218
20400.000            0.2467673060
20600.000            2.9910929310
20800.000            4.7630210621
21000.000            9.1034422278
21200.000            10.1957230253
21400.000            10.2535472855
21600.000            9.2775709850
21800.000            7.3988557816
22000.000            5.9413431412
22200.000            6.3166484530
22400.000            6.2104673555
22600.000            5.6476662422
22800.000            2.1426351607
23000.000            5.9565068035
23200.000            2.0059984787
23400.000            -0.2069511791
23600.000            -5.4730242257
23800.000            -5.6149221995
24000.000            2.3081019966
24200.000            -6.6026900678
24400.000            0.8618533853
24600.000            6.1571415340
