# lambba_val.val 0.9375
#time (ps)      gradients (kcal/mol*lam)
0.000            0.2445544068
200.000            -1.5274278919
400.000            -2.6187390217
600.000            -1.8784542122
800.000            -0.9958189403
1000.000            -1.0691180989
1200.000            -1.0704480319
1400.000            -1.2964954690
1600.000            -3.6066652981
1800.000            -0.9408840252
2000.000            -0.4051089587
2200.000            -0.8996177956
2400.000            -3.7228127746
2600.000            -0.5962017019
2800.000            0.1521653774
3000.000            -0.4093867403
3200.000            -1.7076748851
3400.000            0.7819083393
3600.000            0.5287233104
3800.000            -0.0170767507
4000.000            0.4843473123
4200.000            -2.2225347236
4400.000            -0.3390145930
4600.000            0.8160353470
4800.000            -1.3281633650
5000.000            -1.2935827479
5200.000            -5.0314864534
5400.000            -1.8641163855
5600.000            -0.2176330020
5800.000            -5.1785871719
6000.000            -0.7627348703
6200.000            -2.0223298529
6400.000            0.9682786327
6600.000            -0.3829812473
6800.000            -2.1845469835
7000.000            -1.5520710091
7200.000            1.0411012683
7400.000            -0.4031226180
7600.000            -3.0754619111
7800.000            0.6319072815
8000.000            -0.7344493218
8200.000            -1.7453004564
8400.000            -0.9775920120
8600.000            -0.4389708046
8800.000            -1.1240859493
9000.000            -2.6161490231
9200.000            -1.5253537261
9400.000            -2.9176328678
9600.000            -0.6945701608
9800.000            -2.2516362994
10000.000            0.1591322290
10200.000            0.5403736706
10400.000            0.2970218442
10600.000            -3.3268773842
10800.000            -1.2904267900
11000.000            0.7994007423
11200.000            -10.7197474594
11400.000            -1.2263817345
11600.000            -1.1647743774
11800.000            -2.3237200570
12000.000            0.6840591765
12200.000            -2.3201222786
12400.000            -1.2604223361
12600.000            -0.6580007166
12800.000            -5.2570039145
13000.000            -0.7418469909
13200.000            -0.2670635583
13400.000            0.4543168156
13600.000            -5.2654073531
13800.000            -0.1150560992
14000.000            -1.0160565597
14200.000            0.5090894925
14400.000            -2.8369063013
14600.000            -1.6810718495
14800.000            -0.6230816269
15000.000            -0.3526554687
15200.000            0.6668936944
15400.000            -2.2208891664
15600.000            -0.1345727628
15800.000            -3.7913394751
16000.000            -1.2070233503
16200.000            -2.0155706194
16400.000            -0.3848027322
16600.000            -1.7899197333
16800.000            -2.0366785493
17000.000            0.7187890398
17200.000            -0.5237597687
17400.000            -0.5726217809
17600.000            -1.5003174203
17800.000            -0.4257315631
18000.000            0.1105314499
18200.000            -0.2012242466
18400.000            -2.5951551508
18600.000            0.6410202327
18800.000            -3.8769596437
19000.000            -2.9118184198
19200.000            -1.3886962535
19400.000            -1.3513402600
19600.000            0.6204381456
19800.000            -0.9600115308
20000.000            -1.4892411232
20200.000            -1.5225369109
20400.000            0.0320196962
20600.000            -0.3271552281
20800.000            0.4294677816
21000.000            -0.2062289271
21200.000            0.0576867669
21400.000            -2.0506791370
21600.000            1.0718820363
21800.000            -2.1644254201
22000.000            0.8030722365
22200.000            -0.1611790385
22400.000            -1.9390007872
22600.000            -1.5487521541
22800.000            0.7709161711
23000.000            -0.5125380905
23200.000            0.4454139192
23400.000            -3.1331821236
23600.000            -2.8489940251
23800.000            -1.0743778014
24000.000            0.0807120742
24200.000            -2.1273171465
24400.000            -2.6025850376
24600.000            0.6484036698
24800.000            0.5549762778
25000.000            -1.4636829003
25200.000            -2.4212633267
25400.000            -2.5857008984
25600.000            -1.3568893405
25800.000            -0.2237803258
26000.000            -2.4372022357
26200.000            -2.0918483992
26400.000            -3.0485153507
26600.000            -0.5588937621
26800.000            -1.2384251257
27000.000            -1.1125685728
27200.000            -0.0608061773
27400.000            -4.7244132219
27600.000            -1.3216995938
27800.000            -1.8162640251
28000.000            -2.5876223667
28200.000            -0.9878045335
28400.000            -1.1888419169
28600.000            -1.6874499322
28800.000            0.1303023960
29000.000            -2.1023874621
29200.000            -1.0721223021
29400.000            1.6006013107
29600.000            -0.1137022387
29800.000            -1.3573204693
30000.000            -1.9534176668
30200.000            -1.4047678225
30400.000            -2.1859921897
30600.000            1.0869781322
30800.000            0.5778043258
31000.000            -0.9333747595
31200.000            0.3102558661
31400.000            -1.6753917101
31600.000            -1.8859062594
31800.000            -2.3200691161
32000.000            -1.6820996786
32200.000            -0.6967965259
32400.000            0.7779670419
32600.000            0.3067438888
32800.000            0.0734855503
33000.000            0.1438953235
33200.000            0.1124293630
33400.000            -0.5106069688
33600.000            -0.5227707953
33800.000            0.8585207608
34000.000            1.2195908171
34200.000            -0.3131346356
34400.000            -1.1351221240
34600.000            -0.9976041016
34800.000            -1.9221960152
35000.000            -1.4002154564
35200.000            -2.6706053160
35400.000            -1.5930758383
35600.000            -5.2813982564
35800.000            -0.8160418285
36000.000            -0.6899921000
36200.000            -0.7381258566
36400.000            -3.6798868804
36600.000            -0.6170036200
36800.000            -0.0128465927
37000.000            -3.8528094400
37200.000            0.5135635085
37400.000            -0.1622012299
37600.000            -3.4786384008
37800.000            -2.2491017047
38000.000            -2.5005197218
38200.000            -2.0981384807
38400.000            -0.5102448273
38600.000            -0.6932783636
38800.000            -1.6846388276
39000.000            -1.1661677199
39200.000            0.5861841481
39400.000            0.0252308058
39600.000            -0.6010018412
39800.000            0.6744098093
40000.000            1.0908906572
40200.000            -0.8822002174
40400.000            0.6814966278
40600.000            0.5081825103
40800.000            -1.5162543309
41000.000            -4.5907110892
41200.000            -1.4669506742
41400.000            -1.7512162896
41600.000            0.1835860451
41800.000            0.0018753244
42000.000            0.1812451320
42200.000            -1.1021412667
42400.000            -0.3357392251
42600.000            -0.3222753825
42800.000            -1.1674672794
43000.000            0.5567867774
43200.000            -0.9386590299
43400.000            0.3491614848
43600.000            -1.7841503888
43800.000            -0.7583842309
44000.000            -0.9795087600
44200.000            -1.7914057735
44400.000            0.8477124997
44600.000            -1.4934088458
44800.000            -5.2556937997
45000.000            -1.4698439094
45200.000            0.0381622991
45400.000            -1.2044401118
45600.000            -2.7726813651
45800.000            -0.5373723417
46000.000            -3.7318187605
46200.000            0.6083776819
46400.000            -1.6073603899
46600.000            -1.6400105964
46800.000            -1.9853789080
47000.000            -0.3475989737
47200.000            0.5339591191
47400.000            -0.0101291355
47600.000            -0.9574565310
47800.000            1.1813810933
48000.000            0.4421451716
48200.000            -1.5463603835
48400.000            -0.7961565520
48600.000            -2.8777174033
48800.000            -0.5139373161
49000.000            -0.8317564708
49200.000            -0.1813865779
49400.000            -1.8895240279
49600.000            -2.0056165274
49800.000            -1.9157868060
50000.000            -0.8492086150
50200.000            -1.0528429767
50400.000            -0.4424052632
50600.000            -1.2173648670
50800.000            -0.4071484452
51000.000            0.3622945568
51200.000            0.5105549058
51400.000            -0.2341004851
51600.000            -0.1079055575
