
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.15278558256392683  -0.15056988412979316  -0.1550012809980605
0.01  -0.29381829046596264  -0.2894216870085922  -0.29821489392333306
0.02  -0.4240449528673723  -0.4175195434074659  -0.43057036232727874
0.03  -0.5443161764522237  -0.5357252726631198  -0.5529070802413277
0.04  -0.6553967105211442  -0.6448102368181278  -0.6659831842241607
0.05  -0.757974915742806  -0.7454660211787746  -0.7704838103068373
0.060000000000000005  -0.8526713954383978  -0.8383140365068782  -0.8670287543699173
0.07  -0.9400468446932271  -0.9239141341843947  -0.9561795552020594
0.08  -1.0206091692566797  -1.0027723183832464  -1.038446020130113
0.09  -1.094819923093227  -1.0753476325084144  -1.1142922136780395
0.09999999999999999  -1.163100110569527  -1.1420582909313672  -1.1841419302076865
0.10999999999999999  -1.2258353965927742  -1.2032871212655039  -1.2483836719200445
0.11999999999999998  -1.2833807655405223  -1.259386377128337  -1.3073751539527076
0.12999999999999998  -1.3360646675297891  -1.3106819764601947  -1.3614473585993836
0.13999999999999999  -1.3841926884512568  -1.357477216000504  -1.4109081609020095
0.15  -1.4280507782310332  -1.4000560084352252  -1.4560455480268413
0.16  -1.4679080699663516  -1.438685684998354  -1.4971304549343492
0.17  -1.5040193209016801  -1.4736194029129752  -1.534419238890385
0.18000000000000002  -1.5366270046572577  -1.5050981939701435  -1.5681558153443718
0.19000000000000003  -1.5659630826827526  -1.5333526877447183  -1.598573477620787
0.20000000000000004  -1.5922504815744223  -1.558604540414491  -1.6258964227343535
0.21000000000000005  -1.6157043016552932  -1.581067597861856  -1.6503410054487304
0.22000000000000006  -1.6365327810650037  -1.6009488196755193  -1.672116742454488
0.23000000000000007  -1.6549380385301822  -1.6184489888140443  -1.69142708824632
0.24000000000000007  -1.6711166169788492  -1.63376323002451  -1.7084700039331884
0.25000000000000006  -1.6852598492150848  -1.6470813586102209  -1.7234383398199487
0.26000000000000006  -1.697554065975088  -1.6585880797938426  -1.7365200521563335
0.2700000000000001  -1.7081806658352328  -1.6684630577099364  -1.747898273960529
0.2800000000000001  -1.7173160656294717  -1.6768808719676285  -1.757751259291315
0.2900000000000001  -1.725131549250551  -1.6840108787347818  -1.7662522197663202
0.3000000000000001  -1.7317930319504455  -1.690016992395064  -1.773569071505827
0.3100000000000001  -1.737460756513957  -1.6950574030047851  -1.779864110023129
0.3200000000000001  -1.7422889369495789  -1.6992842440140947  -1.785293629885063
0.3300000000000001  -1.74642536461817  -1.702843224004786  -1.790007505231554
0.34000000000000014  -1.7500109909973114  -1.7058732355225674  -1.7941487464720554
0.35000000000000014  -1.7531795005527215  -1.708505953434315  -1.797853047671128
0.36000000000000015  -1.7560568864532613  -1.7108654346100614  -1.8012483382964612
0.37000000000000016  -1.7587610411186658  -1.7130677301056412  -1.8044543521316905
0.38000000000000017  -1.761401372825449  -1.7152205203960258  -1.807582225254872
0.3900000000000002  -1.7640784588130154  -1.7174227835732456  -1.8107341340527852
0.4000000000000002  -1.7668837445255912  -1.7197645057686046  -1.8140029832825777
0.4100000000000002  -1.7698992977935761  -1.7223264423800142  -1.817472153207138
0.4200000000000002  -1.7731976258979207  -1.7251799379754988  -1.8212153138203426
0.4300000000000002  -1.7768415625707341  -1.7283868119974608  -1.8252963131440074
0.4400000000000002  -1.7808842310633086  -1.7319993166048349  -1.8297691455217824
0.45000000000000023  -1.785369088457199  -1.7360601721572537  -1.8346780047571445
0.46000000000000024  -1.7903300554044324  -1.7406026849639284  -1.8400574258449363
0.47000000000000025  -1.795791734457969  -1.7456509509866511  -1.845932517929287
0.48000000000000026  -1.801769719093597  -1.7512201482001633  -1.8523192899870309
0.49000000000000027  -1.8082709944288369  -1.757316919271827  -1.8592250695858468
0.5000000000000002  -1.8152944295140812  -1.7639398451262989  -1.8666490139018634
0.5100000000000002  -1.8228313599061583  -1.7710800088091196  -1.874582711003197
0.5200000000000002  -1.8308662580366142  -1.7787216478574113  -1.883010868215817
0.5300000000000002  -1.839377487656761  -1.7868428921268342  -1.8919120831866878
0.5400000000000003  -1.8483381373815129  -1.7954165827146777  -1.901259692048348
0.5500000000000003  -1.8577169270651515  -1.8044111662610858  -1.9110226878692171
0.5600000000000003  -1.867479179429044  -1.8137916575101383  -1.9211667013479496
0.5700000000000003  -1.877587848023157  -1.8235206615696793  -1.9316550344766346
0.5800000000000003  -1.8880045912471857  -1.8335594458336724  -1.942449736660699
0.5900000000000003  -1.8986908807834846  -1.8438690500249562  -1.953512711542013
0.6000000000000003  -1.9096091314082038  -1.8544114212880511  -1.9648068415283564
0.6100000000000003  -1.9207238377529894  -1.865150559718186  -1.9762971157877927
0.6200000000000003  -1.9320027021907584  -1.8760536581598453  -1.9879517462216716
