Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -15.9198		     1.9812		     0.1981		 
0.0625    		    -10.2474		     1.4360		     0.1436		 
0.1250    		    -6.1675		     1.2807		     0.1281		 
0.1875    		    -3.4568		     0.9789		     0.0979		 
0.2500    		    -1.8479		     0.6793		     0.0679		 
0.3125    		    -0.6019		     0.4976		     0.0498		 
0.3750    		    -0.4296		     0.3470		     0.0347		 
0.4375    		    -0.1444		     0.3276		     0.0328		 
0.5000    		    -0.4064		     0.2922		     0.0292		 
0.5625    		    -0.8495		     0.2454		     0.0245		 
0.6250    		    -1.0382		     0.2704		     0.0270		 
0.6875    		    -1.2815		     0.2399		     0.0240		 
0.7500    		    -1.6393		     0.2221		     0.0222		 
0.8125    		    -1.8000		     0.2606		     0.0261		 
0.8750    		    -1.9937		     0.2850		     0.0285		 
0.9375    		    -2.0797		     0.3065		     0.0306		 
1.0000    		    0.4574		     0.2882		     0.0288		 
