# lambba_val.val 0.4375
#time (ps)      gradients (kcal/mol*lam)
0.000            -0.9454155652
200.000            -2.5487596491
400.000            -0.8624165870
600.000            -0.7689217639
800.000            -1.4095764299
1000.000            -1.8201067126
1200.000            -1.7653960760
1400.000            -1.0357860552
1600.000            -0.9171397003
1800.000            -0.9915124439
2000.000            -0.9582141181
2200.000            -2.1171467814
2400.000            -2.1922645167
2600.000            -1.2496809950
2800.000            -1.3109522041
3000.000            -1.4164364199
3200.000            -1.1404201224
3400.000            -0.9675176180
3600.000            -2.2436048675
3800.000            -2.1672840893
4000.000            -0.8615646595
4200.000            -1.1714068393
4400.000            -0.8223723288
4600.000            -1.1084299902
4800.000            -2.5098774397
5000.000            -2.3965886205
5200.000            -1.4476815662
5400.000            -1.2797337962
5600.000            -0.8075027708
5800.000            -0.8430271652
6000.000            -1.2604566590
6200.000            -2.7289267296
6400.000            -2.0249441111
6600.000            -1.5715214802
6800.000            -2.4308172980
7000.000            -0.8743756832
7200.000            -1.3565233113
7400.000            -1.3006933990
7600.000            -0.7712422915
7800.000            -0.9997234065
8000.000            -1.3727473999
8200.000            -1.2308173448
8400.000            -2.2514183778
8600.000            -1.6604786199
8800.000            -2.0690377054
9000.000            -1.3352642791
9200.000            -0.4838176234
9400.000            -1.0960449302
9600.000            -1.6169339658
9800.000            -0.8800362063
10000.000            -1.6488920226
10200.000            -0.6471385992
10400.000            -1.7660323472
10600.000            -2.6149784648
10800.000            -1.7354644721
11000.000            -0.6904658121
11200.000            -1.2374010858
11400.000            -1.3181918209
11600.000            -3.8557908365
11800.000            -2.4301738930
12000.000            -2.6572862217
12200.000            -1.1447261148
12400.000            -0.6327734232
12600.000            -1.8700853989
12800.000            -1.2721448491
13000.000            -1.4916183238
13200.000            -1.2559546208
13400.000            -1.5950796564
13600.000            -2.3110356328
13800.000            -1.4231288815
14000.000            -0.9461017433
14200.000            -1.3056178430
14400.000            -0.9911256893
14600.000            -1.6320833427
14800.000            -1.0413449854
15000.000            -1.1050383089
15200.000            -1.6582846385
15400.000            -3.4452284725
15600.000            -3.1871187410
15800.000            -3.3118230593
16000.000            -2.8718512991
16200.000            -1.4900534798
16400.000            -1.1088096170
16600.000            -0.6759028054
16800.000            -2.7156202307
17000.000            -1.1616470733
17200.000            -1.6165204787
17400.000            -0.9306672045
17600.000            -2.0890099335
17800.000            -0.8720765452
18000.000            -0.7480441374
18200.000            -1.1363137516
18400.000            -0.6593828572
18600.000            -0.8614220727
18800.000            -0.9668118354
19000.000            -0.9090927081
19200.000            -1.3014633443
19400.000            -1.1630871560
19600.000            -3.0976839457
19800.000            -2.6039390285
20000.000            -0.9665640978
20200.000            -2.4503100916
20400.000            -3.2691214258
20600.000            -3.2633094090
20800.000            -1.1401670419
21000.000            -1.5114247966
21200.000            -1.1951468056
21400.000            -1.3745421559
21600.000            -0.8140882908
21800.000            -1.1809242106
22000.000            -0.7411681067
22200.000            -1.6049784335
22400.000            -1.0694604437
22600.000            -0.7556562590
22800.000            -1.6176433124
23000.000            -0.9576669570
23200.000            -0.5087125046
23400.000            -1.1016359358
23600.000            -2.1911167297
23800.000            -2.4161313150
24000.000            -0.8691928158
24200.000            -2.2405767723
24400.000            -1.8081226629
24600.000            -2.8776205368
24800.000            -2.7094268082
25000.000            -2.2196082508
25200.000            -3.1628922122
25400.000            -2.7492661078
25600.000            -2.0768298322
25800.000            -2.0078876937
