
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.08856832132484309  -0.0880579845399765  -0.08907865810970968
0.01  -0.1723364954608456  -0.1713431036542452  -0.17332988726744597
0.02  -0.2512079696455755  -0.24976366700277236  -0.25265227228837867
0.03  -0.32513859606885986  -0.3232776322788628  -0.3269995598588569
0.04  -0.3941450127444683  -0.39190167809394416  -0.3963883473949924
0.05  -0.45830761415707166  -0.45571474606224166  -0.46090048225190167
0.060000000000000005  -0.5177692954274009  -0.5148572515098648  -0.520681339344937
0.07  -0.5727309980402281  -0.5695270050134404  -0.5759349910670157
0.08  -0.623444942618651  -0.6199727429964502  -0.6269171422408518
0.09  -0.6702063041370634  -0.666486034205075  -0.6739265740690518
0.09999999999999999  -0.7133439666927756  -0.7093922093936823  -0.7172957239918688
0.10999999999999999  -0.753210887866878  -0.7490408533330063  -0.7573809224007496
0.11999999999999998  -0.7901745061787295  -0.7857963006873178  -0.7945527116701413
0.12999999999999998  -0.8246075385712596  -0.8200284897820422  -0.8291865873604769
0.13999999999999999  -0.8568794376676845  -0.852104450207778  -0.8616544251275909
0.15  -0.8873487101416107  -0.882380631003785  -0.8923167892794363
0.16  -0.9163562373848837  -0.9111962152728422  -0.9215162594969252
0.17  -0.9442196871997889  -0.9388675139548801  -0.9495718604446977
0.18000000000000002  -0.971229059958859  -0.9656834855997737  -0.9767746343179443
0.19000000000000003  -0.9976433740569141  -0.9919023898167632  -1.003384358297065
0.20000000000000004  -1.0236884630320813  -1.0177495491416424  -1.0296273769225202
0.21000000000000005  -1.0495558299772252  -1.0434161668714383  -1.055695493083012
0.22000000000000006  -1.0754024833379547  -1.0690591265039444  -1.081745840171965
0.23000000000000007  -1.1013516614514836  -1.0948016813362154  -1.1079016415667517
0.24000000000000007  -1.1274943407910571  -1.1207349300877627  -1.1342537514943516
0.25000000000000006  -1.1538914144282282  -1.146919965702468  -1.1608628631539883
0.26000000000000006  -1.1805764223104356  -1.1733905793456445  -1.1877622652752267
0.2700000000000001  -1.207558713190316  -1.2001563996625695  -1.2149610267180626
0.2800000000000001  -1.2348269190680634  -1.2272063482315392  -1.2424474899045876
0.2900000000000001  -1.2623526264664362  -1.2545122954728596  -1.2701929574600128
0.3000000000000001  -1.2900941344134438  -1.2820328067264082  -1.2981554621004794
0.3100000000000001  -1.318000196339272  -1.309716875460935  -1.326283517217609
0.3200000000000001  -1.3460136518966928  -1.3375075493208235  -1.354519754472562
0.3300000000000001  -1.3740748646988397  -1.3653453646591855  -1.3828043647384938
