Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -8.4217		     0.4252		     0.0425		 
0.0625    		    -5.2561		     0.3140		     0.0314		 
0.1250    		    -3.7480		     0.2091		     0.0209		 
0.1875    		    -3.0139		     0.2059		     0.0206		 
0.2500    		    -2.7160		     0.2015		     0.0202		 
0.3125    		    -2.5933		     0.1759		     0.0176		 
0.3750    		    -2.6605		     0.1620		     0.0162		 
0.4375    		    -2.7270		     0.1726		     0.0173		 
0.5000    		    -2.7808		     0.2077		     0.0208		 
0.5625    		    -2.8931		     0.1671		     0.0167		 
0.6250    		    -3.0022		     0.2079		     0.0208		 
0.6875    		    -3.1315		     0.1736		     0.0174		 
0.7500    		    -3.2307		     0.2024		     0.0202		 
0.8125    		    -3.3675		     0.2039		     0.0204		 
0.8750    		    -3.5099		     0.1964		     0.0196		 
0.9375    		    -3.6101		     0.1705		     0.0170		 
1.0000    		    -3.5558		     0.1549		     0.0155		 
