# lambba_val.val 0.1250
#time (ps)      gradients (kcal/mol*lam)
0.000            -3.9501434163
200.000            -1.8041613992
400.000            -0.7560038459
600.000            -12.5134228455
800.000            -2.3044487727
1000.000            -1.4614429554
1200.000            -20.5077588496
1400.000            -2.5331055758
1600.000            -3.0531636286
1800.000            4.0112000602
2000.000            -2.4989437057
2200.000            -1.1353721269
2400.000            -6.3287715671
2600.000            -11.7091456626
2800.000            -1.3977202013
3000.000            -22.4932083009
3200.000            -4.0483369877
3400.000            -0.0902319800
3600.000            -0.7881668969
3800.000            -2.5309099518
4000.000            -0.1256767446
4200.000            -3.2227131153
4400.000            -2.6315691934
4600.000            -1.8036909841
4800.000            -2.4871845216
5000.000            -1.3195039639
5200.000            0.2582867793
5400.000            2.5970358562
5600.000            1.2883373901
5800.000            -18.1487269294
6000.000            1.1447028040
6200.000            2.4743674967
6400.000            1.9785032628
6600.000            -12.0671542911
6800.000            -2.4224178622
7000.000            -16.5334835829
7200.000            -4.2393927994
7400.000            0.1609552076
7600.000            1.1437895603
7800.000            -0.3314577805
8000.000            -0.2775247347
8200.000            -4.9436380873
8400.000            -2.7489220433
8600.000            -2.3594663342
8800.000            1.0130791541
9000.000            -13.6600813872
9200.000            -7.1949612115
9400.000            0.1358880866
9600.000            -11.7791264228
9800.000            -3.1775683692
10000.000            -5.2786385648
10200.000            -4.8012058798
10400.000            3.7697035558
10600.000            0.2552738922
10800.000            1.2109434776
11000.000            -7.6357309955
11200.000            -0.4240511482
11400.000            -4.7096943689
11600.000            0.4953056196
11800.000            -7.9964032614
12000.000            -3.2738582801
12200.000            -0.5455082714
12400.000            -5.4649023673
12600.000            -17.4229160402
12800.000            -4.1094079585
13000.000            0.5260003030
13200.000            -3.3702418731
13400.000            -2.9730542980
13600.000            0.8841397663
13800.000            -18.7636805603
14000.000            1.8755851359
14200.000            -0.0225305863
14400.000            -2.8915966158
14600.000            4.2484452231
14800.000            -0.1089319747
15000.000            0.9537598223
15200.000            -0.4311094125
15400.000            -2.6066820330
15600.000            -2.8145334490
15800.000            -0.7230668529
16000.000            1.6866830468
16200.000            -1.3366957514
16400.000            -7.8159930331
16600.000            -0.8513796236
16800.000            2.0280865308
17000.000            -0.3883413962
17200.000            -9.3004672487
17400.000            1.5352444146
17600.000            -11.0578580915
17800.000            2.2506447026
18000.000            -15.0106806937
18200.000            -0.0379094842
18400.000            -11.5203872396
18600.000            -1.0697721957
18800.000            -4.4279707844
19000.000            -2.0040986727
19200.000            -18.2397905000
19400.000            0.6684144311
19600.000            -0.4438440276
19800.000            -0.0658636602
20000.000            2.0932592589
20200.000            -3.1778599177
20400.000            -7.0939514891
20600.000            -8.7084389978
20800.000            -2.6705781151
21000.000            -3.9623618255
21200.000            1.1838911793
21400.000            -19.9707730959
21600.000            -2.9555642611
21800.000            1.1870756723
22000.000            -0.2351457650
22200.000            -1.6178630723
22400.000            -4.2079474623
22600.000            -6.3245473316
22800.000            -3.3684421893
23000.000            -17.3519501884
23200.000            -6.0166923304
23400.000            -10.5287563321
23600.000            -13.6741108777
23800.000            -2.0141977177
24000.000            2.4724589974
24200.000            -1.3862557501
24400.000            0.6918652031
24600.000            -2.1572818872
24800.000            -2.9021658742
25000.000            -4.3396407777
25200.000            -4.1996406530
25400.000            -8.5985475586
25600.000            -3.6606438821
25800.000            0.7758121274
26000.000            -0.5085052582
26200.000            -3.1515279899
26400.000            2.3733703281
26600.000            -0.6369658798
26800.000            -3.0862459541
27000.000            -1.3604647332
27200.000            -1.6741517530
27400.000            -1.5934974732
27600.000            -12.1208768889
27800.000            -6.0762288188
28000.000            -0.3478714459
28200.000            1.5855211250
28400.000            -7.6617877713
28600.000            0.6856285332
28800.000            2.8262541296
29000.000            -1.6140148877
29200.000            -1.8961993459
29400.000            -12.7374416415
29600.000            -6.2093598687
29800.000            1.7717017415
30000.000            2.5140168287
30200.000            1.0318789739
30400.000            -7.2362790795
30600.000            -0.5602382562
30800.000            -2.9201554602
31000.000            -5.4207571287
31200.000            -8.1736666759
31400.000            0.8443733760
31600.000            -0.4991116632
31800.000            -1.0991613172
32000.000            -3.2130060670
32200.000            2.5380802113
32400.000            -22.6705763206
32600.000            -3.2498250279
32800.000            -5.4544456721
33000.000            -2.6058229480
33200.000            -4.5566536760
33400.000            -1.4413243868
33600.000            -10.5854458868
33800.000            -1.5401884336
34000.000            1.3832806395
34200.000            -1.1309029231
34400.000            -9.3946712880
34600.000            1.3888825207
34800.000            -5.8537394884
35000.000            1.4025950764
35200.000            0.9953475528
35400.000            -4.7081408630
35600.000            -4.2271050507
