
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.2770675649195138  -0.2745576774955473  -0.27957745234348025
0.01  -0.5404054698835201  -0.5352662871039002  -0.54554465266314
0.02  -0.7854356768817045  -0.7776782156956169  -0.793193138067792
0.03  -1.0095416951807616  -0.9992628981286217  -1.0198204922329017
0.04  -1.2115921646607393  -1.1989408109961268  -1.2242435183253517
0.05  -1.3915487027058016  -1.3766999106405813  -1.4063974947710218
0.060000000000000005  -1.5501467756981013  -1.5332835172236285  -1.5670100341725741
0.07  -1.6886394720469822  -1.669939738814126  -1.7073392052798384
0.08  -1.8085950909553141  -1.7882235446696602  -1.828966637240968
0.09  -1.9117404233134898  -1.8898435386011547  -1.933637308025825
0.09999999999999999  -1.999842491675967  -1.9765463549095939  -2.0231386284423403
0.10999999999999999  -2.0746223385950913  -2.0500324041779514  -2.099212273012231
0.11999999999999998  -2.13769520996557  -2.11189743742455  -2.1634929825065905
0.12999999999999998  -2.1905321756970073  -2.1635950779355873  -2.2174692734584274
0.13999999999999999  -2.2344388671314297  -2.206416093578821  -2.2624616406840383
0.15  -2.2705475922311544  -2.24148075156663  -2.299614432895679
0.16  -2.299819618676498  -2.2697411154191967  -2.329898121933799
0.17  -2.3230548945528335  -2.291990613136434  -2.3541191759692333
0.18000000000000002  -2.3409069091162626  -2.3088786291050596  -2.3729351891274657
0.19000000000000003  -2.353900784973088  -2.3209282527534243  -2.386873317192752
0.20000000000000004  -2.362453040581569  -2.328555657056279  -2.3963504241068594
0.21000000000000005  -2.366891770897901  -2.3320898822427862  -2.4016936595530156
0.22000000000000006  -2.3674762667801836  -2.331792066958711  -2.403160466601656
0.23000000000000007  -2.3644153328938264  -2.3278734030859787  -2.400957262701674
0.24000000000000007  -2.3578837717143712  -2.3205112937645755  -2.395256249664167
0.25000000000000006  -2.3480366801054022  -2.309863369151048  -2.3862099910597565
0.26000000000000006  -2.335021357091515  -2.2960791632694106  -2.373963550913619
0.2700000000000001  -2.3189867490035607  -2.2793093800729234  -2.358664117934198
0.2800000000000001  -2.3000904632209407  -2.2597127795710326  -2.340468146870849
0.2900000000000001  -2.278503466278984  -2.237460797547828  -2.3195461350101403
0.3000000000000001  -2.25441264806678  -2.2127400768845735  -2.2960852192489867
0.3100000000000001  -2.228021483064386  -2.1857531366126075  -2.270289829516164
0.3200000000000001  -2.199549053829394  -2.156717438298049  -2.242380669360739
0.3300000000000001  -2.1692277229297456  -2.12586312984856  -2.212592316010931
0.34000000000000014  -2.13729974886017  -2.093429755929296  -2.181169741791044
0.35000000000000014  -2.1040131407049323  -2.0596622233773916  -2.148364058032473
0.36000000000000015  -2.069617036890944  -2.0248063007538453  -2.114427773028043
0.37000000000000016  -2.034356876699227  -1.9891039148237875  -2.079609838574666
0.38000000000000017  -1.9984696105790785  -1.9527884845938794  -2.0441507365642773
0.3900000000000002  -1.9621791679709817  -1.9160805067657567  -2.0082778291762065
0.4000000000000002  -1.9256923704595035  -1.8791835762294296  -1.9722011646895774
0.4100000000000002  -1.8891954447146202  -1.8422809925663777  -1.9361098968628627
0.4200000000000002  -1.852851254847372  -1.8055330694466292  -1.9001694402481146
0.4300000000000002  -1.8167973384443563  -1.7690752292044  -1.8645194476843125
0.4400000000000002  -1.7811447954879318  -1.7330169305832372  -1.8292726603926264
0.45000000000000023  -1.7459780454051093  -1.6974414444205852  -1.7945146463896333
0.46000000000000024  -1.7113554352977238  -1.6624064605629933  -1.7603044100324543
0.47000000000000025  -1.677310652655951  -1.6279454802155235  -1.7266758250963783
