Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -27.4871		     2.0073		     0.2007		 
0.0625    		    -15.5550		     1.3255		     0.1326		 
0.1250    		    -6.8366		     1.3446		     0.1345		 
0.1875    		    -2.2436		     0.9768		     0.0977		 
0.2500    		    0.7583		     0.7330		     0.0733		 
0.3125    		    2.4728		     0.5029		     0.0503		 
0.3750    		    3.3154		     0.3518		     0.0352		 
0.4375    		    3.5734		     0.3333		     0.0333		 
0.5000    		    3.3255		     0.2880		     0.0288		 
0.5625    		    2.8663		     0.3056		     0.0306		 
0.6250    		    2.6286		     0.2964		     0.0296		 
0.6875    		    2.4258		     0.2958		     0.0296		 
0.7500    		    2.1065		     0.2860		     0.0286		 
0.8125    		    1.9847		     0.3215		     0.0322		 
0.8750    		    1.9686		     0.3072		     0.0307		 
0.9375    		    1.9194		     0.2943		     0.0294		 
1.0000    		    4.7973		     0.3391		     0.0339		 
