# lambba_val.val 0.8750
#time (ps)      gradients (kcal/mol*lam)
0.000            0.3425559232
200.000            -0.7172957769
400.000            -0.0422703255
600.000            -1.7722258823
800.000            1.1270922399
1000.000            -0.8786335478
1200.000            1.1029726468
1400.000            0.4222345158
1600.000            -0.1810929753
1800.000            -1.0377323049
2000.000            -0.4889987100
2200.000            -0.9637908680
2400.000            -0.1680939190
2600.000            -2.4946015225
2800.000            0.5342668297
3000.000            -1.3223730521
3200.000            1.0359785430
3400.000            0.4482771853
3600.000            -2.4371283479
3800.000            -0.3557363266
4000.000            0.8393325024
4200.000            -1.2266503753
4400.000            -0.1714820328
4600.000            -0.2427589587
4800.000            0.5159717295
5000.000            -0.3815379428
5200.000            -1.8407366014
5400.000            -0.9885556451
5600.000            1.0288119956
5800.000            -1.0853102604
6000.000            0.8389911953
6200.000            -2.3737005817
6400.000            0.7527547041
6600.000            -1.9423639630
6800.000            0.3541420776
7000.000            -2.2772097446
7200.000            -0.9542431944
7400.000            -2.0026673961
7600.000            0.9129673820
7800.000            -1.9336753507
8000.000            -0.3047288208
8200.000            -1.1958828846
8400.000            -2.2374746055
8600.000            -0.2085111196
8800.000            -0.9509335013
9000.000            -1.2245205506
9200.000            -1.2406198839
9400.000            0.7964276834
9600.000            -2.5427284181
9800.000            -0.6199713123
10000.000            0.1409426715
10200.000            -0.1814592340
10400.000            -0.1366152967
10600.000            0.4153620455
10800.000            -2.1484311309
11000.000            -0.2872767389
11200.000            -2.3678796581
11400.000            -1.5997011071
11600.000            0.1811058968
11800.000            -2.2542486364
12000.000            0.2558052457
12200.000            0.5099797053
12400.000            0.2445982716
12600.000            0.9732369489
12800.000            -0.5256281202
13000.000            0.1208777676
13200.000            0.1807284991
13400.000            0.7292214872
13600.000            1.0845420941
13800.000            -0.5782338855
14000.000            0.8954555939
14200.000            0.6808058599
14400.000            0.6755356613
14600.000            0.3725285199
14800.000            -0.6277242239
15000.000            -0.1365368766
15200.000            -1.5949958893
15400.000            0.7986372666
15600.000            -0.1666467084
15800.000            -0.6932479546
16000.000            0.1249181956
16200.000            -1.5140946486
16400.000            -1.7320977443
16600.000            -1.0402916573
16800.000            0.0297070366
17000.000            -1.6076821517
17200.000            0.2380786926
17400.000            -0.7308273193
17600.000            -0.0209239626
17800.000            -0.0948208399
18000.000            -1.9059145657
18200.000            -0.8379833148
18400.000            -0.4428706401
18600.000            -0.2502739410
18800.000            0.0852321758
19000.000            0.8605683602
19200.000            0.6249937732
19400.000            0.0444554003
19600.000            0.4778826321
19800.000            -0.1402119372
20000.000            -1.6858297672
20200.000            0.2062511889
20400.000            -1.2037837320
20600.000            -1.7289912307
20800.000            -1.3037308518
21000.000            0.7608569461
21200.000            -0.9885877264
21400.000            -0.2452559329
21600.000            0.6346608592
21800.000            -1.7009238944
22000.000            -0.7542856818
22200.000            -0.4169215400
22400.000            0.1976619379
22600.000            0.0019801126
22800.000            -0.7479158181
23000.000            -0.2374317254
23200.000            -1.2778811160
23400.000            -1.5807198294
23600.000            -1.5055414894
23800.000            1.1665323022
24000.000            0.6388902064
24200.000            -0.9999372838
24400.000            0.5442119497
24600.000            0.3503052750
24800.000            0.1594284758
25000.000            -1.9374787341
25200.000            0.2523208892
25400.000            0.2311260202
25600.000            0.3747314171
25800.000            0.9635859094
26000.000            -1.8990385290
26200.000            0.5617504726
26400.000            -1.9494449641
26600.000            0.7889563697
26800.000            -0.0578207151
27000.000            0.1016861806
27200.000            0.4511520025
27400.000            -1.0682306744
27600.000            1.2595619524
27800.000            0.3636581140
28000.000            -0.3453541022
28200.000            -1.3013599725
28400.000            0.4789288299
28600.000            0.9370441960
28800.000            -1.8205130717
29000.000            0.0950204550
29200.000            0.0234271743
29400.000            0.4793601420
29600.000            -0.9157459547
29800.000            -0.2834056278
30000.000            -2.5367381752
30200.000            -1.7266234766
30400.000            -2.6846958974
30600.000            -0.7404712309
30800.000            -2.0775427427
31000.000            0.6716788071
31200.000            0.7761239564
31400.000            -1.1074831531
31600.000            -1.6618046391
31800.000            0.3885957701
32000.000            0.9098065082
32200.000            -0.4484928411
32400.000            -1.7768917783
32600.000            -0.5306327615
32800.000            -1.6218637527
33000.000            -1.0506092762
33200.000            -0.4384407842
33400.000            1.0449024161
33600.000            -1.4900103746
33800.000            0.9449789096
34000.000            0.1030603188
34200.000            1.0333621558
34400.000            1.0273897326
34600.000            -0.7821605363
34800.000            -0.3395420884
35000.000            -0.0140693153
35200.000            0.6849657015
35400.000            -1.8727249546
35600.000            -0.0309938424
35800.000            0.6120847206
36000.000            -1.9039932694
36200.000            -0.3294632974
36400.000            -1.6146829496
36600.000            -2.6742303547
36800.000            -1.6619739525
37000.000            0.7729532803
37200.000            -1.8931249255
37400.000            0.2176715908
37600.000            0.3711276481
37800.000            0.9119354434
38000.000            0.3070101387
38200.000            -0.5125550995
38400.000            -1.7108012878
38600.000            -1.6840105025
38800.000            1.0297726438
39000.000            0.3765511247
39200.000            -0.4526615931
39400.000            -1.4612589713
39600.000            -1.5540970232
39800.000            -0.5687824564
40000.000            -1.6566003821
40200.000            -2.6008859799
40400.000            -2.1247089902
40600.000            -0.6296094302
40800.000            1.0434623334
41000.000            -2.5193734274
41200.000            -1.2900941822
41400.000            -0.8467842116
41600.000            0.9302893568
41800.000            -4.1847889621
42000.000            -0.2647095143
42200.000            -0.0732499099
42400.000            -2.2416835653
42600.000            -2.1557607591
42800.000            -2.3075477076
43000.000            -0.4867316503
43200.000            -0.0902751356
43400.000            -0.7299646941
43600.000            0.7045903783
43800.000            -0.2401140560
44000.000            -3.5213175537
