
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.20777496405635176  -0.20637479987279608  -0.20917512823990744
0.01  -0.40107197687879614  -0.39838736384981244  -0.40375658990777985
0.02  -0.5794208171065122  -0.5755563797881065  -0.5832852544249179
0.03  -0.7428272109099996  -0.7378780048542246  -0.7477764169657746
0.04  -0.8916551157454922  -0.8857077710348606  -0.8976024604561237
0.05  -1.0265286680871215  -1.0196622456034996  -1.0333950905707434
0.060000000000000005  -1.1482513617205672  -1.1405379971195018  -1.1559647263216326
0.07  -1.2577402463911824  -1.249245642716663  -1.266234850065702
0.08  -1.3559731452741208  -1.34675696292025  -1.3651893276279916
0.09  -1.4439470844793543  -1.4340632666287956  -1.453830902329913
0.09999999999999999  -1.5226463092140121  -1.5121433718110504  -1.5331492466169738
0.10999999999999999  -1.5930184298792758  -1.581939737488512  -1.6040971222700395
0.11999999999999998  -1.6559573978480042  -1.6443414402765038  -1.6675733554195047
0.12999999999999998  -1.7122921555089898  -1.700172834706115  -1.7244114763118648
0.13999999999999999  -1.7627799389186407  -1.7501868712971567  -1.7753730065401248
0.15  -1.8081033346031652  -1.79506217043805  -1.8211444987682803
0.16  -1.8488703052239093  -1.835403064079114  -1.8623375463687046
0.17  -1.8856165024630953  -1.8717419215755493  -1.8994910833506413
0.18000000000000002  -1.9188092801023615  -1.904543171227636  -1.933075388977087
0.19000000000000003  -1.948852906335361  -1.9342085156477806  -1.9634972970229414
0.20000000000000004  -1.9760945523494  -1.9610829175144056  -1.9911061871843945
0.21000000000000005  -2.0008307045883553  -1.9854610030158808  -2.01620040616083
0.22000000000000006  -2.02331371131657  -2.0075935937962126  -2.0390338288369274
0.23000000000000007  -2.0437582305753224  -2.027694134927807  -2.0598223262228377
0.24000000000000007  -2.062347396782036  -2.0459448367829145  -2.0787499567811576
0.25000000000000006  -2.0792385674773346  -2.062502393069216  -2.095974741885453
0.26000000000000006  -2.0945685504741416  -2.0775031761391447  -2.1116339248091385
0.2700000000000001  -2.108458245291764  -2.0910678443672253  -2.1258486462163027
0.2800000000000001  -2.1210166616389334  -2.1033053252921476  -2.138727997985719
0.2900000000000001  -2.1323443022051594  -2.1143161627069054  -2.1503724417034134
0.3000000000000001  -2.142535917476744  -2.1241952363025134  -2.1608765986509746
0.3100000000000001  -2.1516826570500536  -2.13303387917019  -2.170331434929917
0.3200000000000001  -2.1598736552943536  -2.1409214317713974  -2.17882587881731
0.3300000000000001  -2.167197099530369  -2.147946281209086  -2.1864479178516523
0.34000000000000014  -2.173740836440779  -2.154196442082078  -2.19328523079948
0.35000000000000014  -2.179592577500387  -2.159759740166576  -2.1994254148341983
0.36000000000000015  -2.1848397670835955  -2.1647236629236  -2.204955871243591
0.37000000000000016  -2.1895691778377726  -2.1691749416447594  -2.2099634140307858
0.38000000000000017  -2.1938662971536704  -2.173198929173779  -2.214533665133562
0.3900000000000002  -2.1978145663565556  -2.176878834818605  -2.2187502978945064
0.4000000000000002  -2.2014945308126355  -2.180294874529127  -2.222694187096144
0.4100000000000002  -2.204982954706122  -2.183523389872215  -2.226442519540029
0.4200000000000002  -2.2083519489954577  -2.1866359839927427  -2.2300679139981727
0.4300000000000002  -2.2116681551955177  -2.1896987168014457  -2.23363759358959
0.4400000000000002  -2.2149920213288397  -2.1927713952513646  -2.2372126474063148
0.45000000000000023  -2.21837719981242  -2.195906987925013  -2.2408474116998276
0.46000000000000024  -2.221870090345189  -2.1991511864033146  -2.2445889942870636
0.47000000000000025  -2.2255095441867745  -2.202542129176775  -2.248476959196774
0.48000000000000026  -2.2293267396810474  -2.2061102973006244  -2.2525431820614705
0.49000000000000027  -2.233345232614348  -2.2098785847254754  -2.256811880503221
0.5000000000000002  -2.237581179098499  -2.213862540343243  -2.2612998178537556
0.5100000000000002  -2.242043723229127  -2.218070773371804  -2.26601667308645
0.5200000000000002  -2.246735536872527  -2.222505508841615  -2.270965564903439
0.5300000000000002  -2.251653494641032  -2.22716327570662  -2.2761437135754434
0.5400000000000003  -2.2567894634890173  -2.232035706538672  -2.281543220439363
0.5500000000000003  -2.2621311834422233  -2.2371104249230047  -2.287151941961442
0.5600000000000003  -2.2676632137724413  -2.242371994561437  -2.2929544329834455
0.5700000000000003  -2.273367917516162  -2.2478029027753825  -2.2989329322569416
0.5800000000000003  -2.279226456549209  -2.2533845505229992  -2.305068362575419
0.5900000000000003  -2.2852197695178393  -2.259098221248533  -2.3113413177871456
0.6000000000000003  -2.2913295057494523  -2.26492600182531  -2.3177330096735944
0.6100000000000003  -2.297538889782881  -2.27085163049435  -2.324226149071412
0.6200000000000003  -2.303833493369354  -2.276861249036967  -2.330805737701741
0.6300000000000003  -2.3102018945627982  -2.282944039309388  -2.3374597498162086
0.6400000000000003  -2.316636206894917  -2.2890927277648934  -2.344179686024941
0.6500000000000004  -2.3231324653934147  -2.2953039454616477  -2.3509609853251816
0.6600000000000004  -2.329690860423013  -2.301578435378843  -2.3578032854671833
