Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -22.5150		     0.9596		     0.0960		 
0.0625    		    -12.4453		     0.6097		     0.0610		 
0.1250    		    -6.4895		     0.4646		     0.0465		 
0.1875    		    -3.3038		     0.3610		     0.0361		 
0.2500    		    -1.6640		     0.2851		     0.0285		 
0.3125    		    -0.9294		     0.2726		     0.0273		 
0.3750    		    -0.5774		     0.2364		     0.0236		 
0.4375    		    -0.4364		     0.2092		     0.0209		 
0.5000    		    -0.4581		     0.2443		     0.0244		 
0.5625    		    -0.5631		     0.2234		     0.0223		 
0.6250    		    -0.6090		     0.2337		     0.0234		 
0.6875    		    -0.6695		     0.2295		     0.0229		 
0.7500    		    -0.7589		     0.2458		     0.0246		 
0.8125    		    -0.8436		     0.2114		     0.0211		 
0.8750    		    -0.9350		     0.2156		     0.0216		 
0.9375    		    -0.9526		     0.2072		     0.0207		 
1.0000    		    -0.0279		     0.1799		     0.0180		 
