# lambba_val.val 0.5000
#time (ps)      gradients (kcal/mol*lam)
0.000            4.0162300108
200.000            1.6809213106
400.000            5.7139140674
600.000            1.2577070247
800.000            2.2386029599
1000.000            3.7328105945
1200.000            4.1640516691
1400.000            5.2521598280
1600.000            4.7194758801
1800.000            3.9513491810
2000.000            1.5823204965
2200.000            1.3056772734
2400.000            0.4229814841
2600.000            3.2405672957
2800.000            3.9188687861
3000.000            3.9603134909
3200.000            4.2064483286
3400.000            2.6940718323
3600.000            1.3298911476
3800.000            -3.1606235128
4000.000            3.9600358601
4200.000            3.3232913353
4400.000            1.0931464411
4600.000            5.0612076015
4800.000            2.1565063025
5000.000            5.0649400740
5200.000            -0.0422329399
5400.000            4.8426110196
5600.000            5.1741121330
5800.000            -0.5561255059
6000.000            5.3212402956
6200.000            3.6719778971
6400.000            4.4247589244
6600.000            5.0448320548
6800.000            4.5991306752
7000.000            5.0829079147
7200.000            3.1213187316
7400.000            4.1057620403
7600.000            4.5896900915
7800.000            5.4160038719
8000.000            2.8994600092
8200.000            3.1529457461
8400.000            2.8386191521
8600.000            4.6549600597
8800.000            1.3920203980
9000.000            4.2277494460
9200.000            5.8978144032
9400.000            2.2730045207
9600.000            4.0929849480
9800.000            5.1107616880
10000.000            2.5917703602
10200.000            3.5391863575
10400.000            2.9311557703
10600.000            2.0082097223
10800.000            2.6813412845
11000.000            2.8638330140
11200.000            4.6700479840
11400.000            2.2836572201
11600.000            1.9074990083
11800.000            0.8000690414
12000.000            3.0042817788
12200.000            1.8173739729
12400.000            3.0811104674
12600.000            3.4418200152
12800.000            2.8482242340
13000.000            -0.1509030891
13200.000            3.5536510981
13400.000            1.9452786469
13600.000            4.3334125462
13800.000            -1.6578364313
14000.000            4.8886216050
14200.000            1.8730929467
14400.000            1.9577443134
14600.000            2.7098187634
14800.000            4.3372461429
15000.000            4.8345301671
15200.000            2.1988019741
15400.000            1.6179890017
15600.000            4.0722529267
15800.000            1.0321476325
16000.000            4.5121789251
16200.000            3.9669606295
16400.000            4.5222267764
16600.000            4.3345927466
16800.000            5.0094198382
17000.000            3.3485900614
17200.000            2.4361064251
17400.000            4.3287015229
17600.000            4.1314040659
17800.000            0.5586751236
18000.000            4.8886379125
18200.000            4.5208641632
18400.000            1.2681115477
18600.000            -2.3542463094
18800.000            2.4401055697
19000.000            -0.6449898103
19200.000            4.1710658747
19400.000            3.3783312945
19600.000            4.8853648786
19800.000            -0.2412479864
20000.000            5.5513458571
20200.000            4.0915005741
20400.000            5.8159727950
20600.000            4.0328742102
20800.000            3.8201481089
21000.000            3.4002988253
21200.000            5.4722511198
21400.000            5.5197098349
21600.000            4.4942197956
21800.000            3.4267682046
