Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -35.5771		     2.0952		     0.2095		 
0.0625    		    -17.8704		     1.6420		     0.1642		 
0.1250    		    -7.6095		     1.1646		     0.1165		 
0.1875    		    -0.8303		     0.8842		     0.0884		 
0.2500    		    2.6952		     0.5979		     0.0598		 
0.3125    		    4.4945		     0.4696		     0.0470		 
0.3750    		    5.5587		     0.3336		     0.0334		 
0.4375    		    5.7430		     0.3341		     0.0334		 
0.5000    		    5.6553		     0.3352		     0.0335		 
0.5625    		    5.3317		     0.2615		     0.0262		 
0.6250    		    5.1682		     0.3013		     0.0301		 
0.6875    		    4.8696		     0.3156		     0.0316		 
0.7500    		    4.5859		     0.3003		     0.0300		 
0.8125    		    4.4821		     0.3170		     0.0317		 
0.8750    		    4.4270		     0.3013		     0.0301		 
0.9375    		    4.4583		     0.2773		     0.0277		 
1.0000    		    7.5872		     0.3016		     0.0302		 
