# lambba_val.val 0.6875
#time (ps)      gradients (kcal/mol*lam)
0.000            0.8061941859
200.000            2.2175207544
400.000            -0.0190209892
600.000            1.4242805705
800.000            1.4184352509
1000.000            -1.0103870646
1200.000            1.0962941148
1400.000            -1.4699280383
1600.000            -1.1156536790
1800.000            -1.3805371606
2000.000            0.0706216040
2200.000            -0.0586212928
2400.000            0.9795547412
2600.000            -0.0788037712
2800.000            -0.2077901039
3000.000            1.7270011524
3200.000            1.3826734193
3400.000            1.5703643356
3600.000            0.9401845876
3800.000            -1.1020661336
4000.000            -1.8120775459
4200.000            0.7778948145
4400.000            1.9437569259
4600.000            1.1309048681
4800.000            1.9362883993
5000.000            1.3092997503
5200.000            1.5962242650
5400.000            0.3782455155
5600.000            1.8455031947
5800.000            -0.3778086346
6000.000            0.0853645097
6200.000            0.4761228536
6400.000            -0.7309623276
6600.000            -0.3994225062
6800.000            0.0760811166
7000.000            0.9141455247
7200.000            1.5580312936
7400.000            1.2324738666
7600.000            0.3351300000
7800.000            -1.5079736908
8000.000            -0.0387567841
8200.000            -0.5485152641
8400.000            0.9469565113
8600.000            0.1113738734
8800.000            -1.7712370607
9000.000            -1.8463335133
9200.000            0.5743356500
9400.000            -0.5315016227
9600.000            0.3351305011
9800.000            -1.8686649208
10000.000            -1.8358059784
10200.000            -0.3047403986
10400.000            1.8469254519
10600.000            -0.3505696653
10800.000            0.4713973623
11000.000            0.0072920299
11200.000            -1.0106958456
11400.000            2.0710600370
11600.000            -0.0548639132
11800.000            0.0555493112
12000.000            -0.0728963503
12200.000            2.2621581712
12400.000            1.5042987393
12600.000            0.7646520868
12800.000            -0.0951204858
13000.000            2.2523352507
13200.000            0.6924423048
13400.000            1.1728271454
13600.000            1.4468602671
13800.000            0.7546634169
14000.000            1.2605089319
14200.000            1.2389945598
14400.000            -0.6838363449
14600.000            -2.5075281694
14800.000            1.3821035879
15000.000            0.2451360188
15200.000            1.0519316128
15400.000            1.1604081659
15600.000            1.5171983217
15800.000            0.1349152108
16000.000            0.0737368619
16200.000            1.1531531192
16400.000            1.9475831457
16600.000            0.7758659718
16800.000            1.4894699500
17000.000            1.0528787820
17200.000            -0.7218279217
17400.000            0.7340118064
17600.000            1.6774668661
17800.000            0.6738227215
18000.000            1.4497803652
18200.000            0.3312004630
18400.000            -0.0878095187
18600.000            2.0335568609
18800.000            0.3068967411
19000.000            0.4255065582
19200.000            0.6787165252
19400.000            -0.0774080235
19600.000            -0.3889379679
19800.000            -0.2086628363
20000.000            0.8880035526
20200.000            0.7759196086
20400.000            0.0600155927
20600.000            -0.2581353532
20800.000            2.0419523474
21000.000            -3.1850652176
21200.000            -0.6046242647
21400.000            1.1104894674
21600.000            0.4529965503
21800.000            -0.1762209472
22000.000            1.5023147866
22200.000            1.2591322587
22400.000            0.8855095844
22600.000            1.1059016043
22800.000            0.3488508791
23000.000            1.7085492102
23200.000            1.6714796891
23400.000            1.5500265763
23600.000            0.7671120820
23800.000            1.0617034048
24000.000            1.6308928893
24200.000            -0.5011831534
24400.000            2.0273953004
24600.000            -0.1507019892
24800.000            1.1222339806
25000.000            -0.2514437289
25200.000            -0.3172452137
25400.000            0.9616171020
25600.000            1.3802712949
25800.000            0.4913907522
26000.000            1.3070148680
26200.000            -0.4036660029
26400.000            -1.1164154350
26600.000            1.0876171371
26800.000            0.9662115415
27000.000            1.5622213782
27200.000            0.4860422421
27400.000            0.1218461028
27600.000            -0.0229773715
27800.000            -0.8756859345
28000.000            0.6954702873
28200.000            -0.0754821594
28400.000            1.3090140845
28600.000            0.8365853410
28800.000            0.1997194125
29000.000            1.8127274621
29200.000            0.8210188538
29400.000            1.3271131323
29600.000            -0.7386919640
29800.000            -0.0685580032
30000.000            0.5269755241
30200.000            -1.3825813502
30400.000            0.2698224848
30600.000            -0.4002658032
30800.000            -0.5265766830
31000.000            -1.0079094750
31200.000            -0.7780157865
31400.000            -2.1546200465
31600.000            0.5070630609
31800.000            -0.1448521574
32000.000            0.3115363494
32200.000            -0.9330808568
32400.000            1.5236830910
32600.000            0.6087552035
32800.000            -0.2292295072
33000.000            0.9330709952
33200.000            1.1398588716
33400.000            0.8674627205
33600.000            0.4871311733
33800.000            1.0317858373
34000.000            0.4397598937
34200.000            1.0215827326
34400.000            1.1722282451
34600.000            1.7335431758
34800.000            1.3068803044
35000.000            1.9325373125
35200.000            0.3346815337
35400.000            1.7989947206
35600.000            -0.9804041129
35800.000            0.2296287379
36000.000            -0.4843814359
36200.000            0.5145510296
36400.000            -0.4612107431
36600.000            -0.4814485836
36800.000            -0.8390155321
37000.000            0.3770008162
37200.000            0.1180887789
37400.000            1.1334460629
37600.000            1.6356759739
37800.000            -0.5014956092
38000.000            -1.4649322505
38200.000            1.3093869154
38400.000            -0.4677096026
38600.000            -1.1177735354
38800.000            -1.6040829501
39000.000            -0.2078138583
39200.000            -0.1833188198
39400.000            0.9925550802
39600.000            0.2323604155
39800.000            1.2758097729
40000.000            0.9825493082
40200.000            1.7635696300
40400.000            0.4957983297
40600.000            -0.2062962610
40800.000            1.3169310258
41000.000            0.9991139745
41200.000            0.4781671843
41400.000            0.0682799117
41600.000            0.3365667121
41800.000            0.6369914085
42000.000            1.8631136758
42200.000            1.2794372132
42400.000            1.2798907989
42600.000            0.5902181006
42800.000            0.0117385948
43000.000            -1.6584843609
43200.000            0.4524051123
43400.000            0.9180071704
43600.000            -0.8958711446
43800.000            1.5532494424
44000.000            1.2891107570
44200.000            0.2881102888
44400.000            1.5014356760
44600.000            1.0878292888
44800.000            0.6362195716
45000.000            -0.2019660873
45200.000            -1.6299659650
45400.000            -0.8026616552
45600.000            1.9774387803
45800.000            1.2994102182
46000.000            1.7688132622
46200.000            0.5974292593
46400.000            0.8034057575
46600.000            0.7274817023
46800.000            2.0586568727
47000.000            -0.8266155463
47200.000            0.8344489458
47400.000            1.8807482742
47600.000            0.7357633980
47800.000            1.0905524456
48000.000            1.0832500005
48200.000            1.8745570281
48400.000            1.6913135644
48600.000            1.6353820653
48800.000            2.2231711431
49000.000            0.6331346136
49200.000            -0.9651359877
49400.000            1.2898251737
49600.000            1.8403077379
49800.000            1.2174278614
50000.000            0.8790493772
50200.000            1.0739025534
50400.000            0.4521212284
50600.000            1.4359856315
50800.000            0.2132135526
51000.000            2.1699948228
51200.000            0.1029813413
51400.000            1.7104433293
51600.000            1.1662626769
51800.000            1.4243481844
52000.000            -0.0021646900
52200.000            -0.2458437506
52400.000            0.2566020361
52600.000            0.3225526195
52800.000            -1.4058255092
53000.000            1.9003500078
53200.000            1.5241723812
53400.000            -1.4267813286
53600.000            2.1255952880
53800.000            0.1729515781
54000.000            0.9013401523
54200.000            0.8714653341
54400.000            0.5398521597
54600.000            0.2389211540
54800.000            -2.0593939599
55000.000            0.3886054473
55200.000            0.4465739945
55400.000            1.0467009555
55600.000            -0.5073080683
55800.000            -0.4818024777
56000.000            1.4755235032
56200.000            -0.0816675052
56400.000            1.2220561078
56600.000            -0.0509020171
56800.000            -0.1639000480
57000.000            1.6610877733
57200.000            1.2204732189
57400.000            1.4245069186
57600.000            1.5955245013
57800.000            0.1184868953
58000.000            0.3463732877
58200.000            0.7192286900
58400.000            1.1709473473
58600.000            0.0846333852
58800.000            -1.1834142235
59000.000            1.4678105776
59200.000            1.6501258065
59400.000            0.9927153207
59600.000            0.8024019983
59800.000            -0.2060183231
60000.000            1.4509746612
60200.000            1.2621490988
60400.000            1.3027090475
60600.000            -0.0433534503
60800.000            -0.1264666069
61000.000            -1.3011331797
61200.000            -0.7114202973
61400.000            0.4595574004
61600.000            0.7473479910
61800.000            0.1056115963
62000.000            -0.4552906782
62200.000            -0.9536536516
62400.000            0.0396545517
62600.000            -0.7826703265
62800.000            -2.1478132960
63000.000            -0.1106196349
63200.000            0.8579789901
63400.000            1.6463561708
63600.000            1.3978851206
63800.000            0.6431439495
64000.000            1.6472148407
64200.000            0.4785714828
64400.000            1.1144870642
64600.000            -1.6013203588
64800.000            0.8198592008
65000.000            1.4823455650
65200.000            1.3136994783
65400.000            1.7488226036
65600.000            1.4495760174
65800.000            -0.5941456345
66000.000            -0.2032088931
66200.000            0.7556868341
66400.000            0.9633996007
66600.000            0.2810187097
66800.000            0.5583285513
67000.000            0.1469595917
67200.000            -0.8780486244
67400.000            1.4677856242
67600.000            1.4309299210
67800.000            1.3708096182
68000.000            1.5029093996
68200.000            1.0898580782
68400.000            1.2014056537
68600.000            -0.3520736307
68800.000            0.1518537316
69000.000            0.8453589479
69200.000            1.4527837322
69400.000            1.6905673451
69600.000            1.3515819964
69800.000            1.4498501553
70000.000            1.0176129297
70200.000            1.4171704412
70400.000            0.9014443305
70600.000            0.3858877633
70800.000            0.7359119385
71000.000            -0.6409316978
71200.000            0.6788486396
71400.000            1.1337893209
71600.000            1.0577626767
71800.000            0.5871750808
72000.000            0.7022029603
72200.000            0.6628448802
72400.000            1.0670372678
72600.000            -0.5964060082
72800.000            2.1271665897
73000.000            0.5620971256
73200.000            0.1392927261
73400.000            1.4130356123
73600.000            0.0773556693
73800.000            0.8507681101
74000.000            1.1293175257
74200.000            1.3134277894
74400.000            1.6615320607
74600.000            -0.7383788956
74800.000            1.6941114629
75000.000            -2.1902737683
75200.000            -0.9230341441
75400.000            0.3775169533
75600.000            -0.1109660655
75800.000            1.8471815448
76000.000            1.1263215711
76200.000            1.6993842825
76400.000            1.5661364354
76600.000            1.4327394902
76800.000            -0.5226949898
77000.000            1.3503251270
77200.000            1.6762039541
77400.000            1.4786415447
77600.000            0.3602803599
77800.000            -0.3812671482
78000.000            1.2773992857
78200.000            1.4892233866
78400.000            1.1991902947
78600.000            1.2615840053
78800.000            1.9920907904
79000.000            0.9915440804
79200.000            0.3869194807
79400.000            1.0022967419
79600.000            2.3063421683
79800.000            1.8067875175
80000.000            1.4023600350
80200.000            1.6624979450
80400.000            0.8758167681
80600.000            1.5357577036
80800.000            1.3538474937
81000.000            -1.0972547036
81200.000            0.7161557047
81400.000            0.6517586562
81600.000            -0.4001964613
81800.000            2.4752638992
82000.000            0.1131147150
82200.000            1.6899772982
82400.000            2.4222549473
82600.000            1.0552564571
82800.000            1.8960497557
83000.000            1.0539350099
83200.000            0.3436381571
83400.000            1.2430050188
83600.000            1.5221951116
83800.000            1.2277286035
84000.000            0.7181487362
84200.000            1.9888368511
84400.000            -0.2997021798
84600.000            2.1625103622
84800.000            0.9290559642
85000.000            1.2163482456
85200.000            0.6855124712
85400.000            0.6438051208
85600.000            -1.8533270707
85800.000            -0.4482278383
86000.000            1.7339267519
86200.000            0.7164025528
86400.000            2.2288771669
86600.000            0.2401132762
86800.000            0.3065943105
87000.000            -1.8256254315
87200.000            -0.0289991931
87400.000            1.4400045052
87600.000            1.8090429870
87800.000            0.8294006360
88000.000            1.3877018399
88200.000            1.3297778075
88400.000            1.4753155322
88600.000            2.1440357556
88800.000            -0.2281567980
89000.000            1.4828400914
89200.000            1.0896722201
89400.000            0.0725890179
89600.000            0.6719219727
89800.000            0.5913959089
90000.000            -0.7516712990
90200.000            0.9944302589
90400.000            -0.6018270363
90600.000            1.5603888066
90800.000            1.9983909825
91000.000            0.4859125257
91200.000            0.4632096251
91400.000            0.3597777574
91600.000            2.2374107394
91800.000            0.7638556878
92000.000            0.6711304185
92200.000            0.9618003983
92400.000            0.2591235160
92600.000            -1.0920022713
92800.000            -0.8487520169
93000.000            2.2282964183
93200.000            0.6051532148
93400.000            1.6305108727
93600.000            1.5210469332
93800.000            0.1188465261
94000.000            0.5607532311
94200.000            -0.5652855686
94400.000            -0.2143142775
94600.000            0.3944453231
94800.000            1.2332951597
95000.000            0.1328322414
95200.000            -0.7123903030
95400.000            0.5322224996
95600.000            -0.6385551376
95800.000            1.2684900062
96000.000            1.2752813803
96200.000            1.2289171593
96400.000            1.8836094459
96600.000            0.6411119876
96800.000            1.9177721818
97000.000            0.3933958946
97200.000            1.2395693429
97400.000            1.6763695967
97600.000            1.3521942630
97800.000            0.8146115599
98000.000            1.6056793713
98200.000            1.9854008965
98400.000            1.1821079809
98600.000            1.5414886809
98800.000            1.1018146660
99000.000            1.5638711042
99200.000            1.7390092008
99400.000            1.5067292684
99600.000            1.5510373508
99800.000            0.6635452606
100000.000            0.1488591118
100200.000            0.4645014436
100400.000            1.1609101581
100600.000            0.7940889982
100800.000            0.3819365610
101000.000            -0.0405450789
101200.000            -1.1511291746
101400.000            -0.7717236711
101600.000            1.2628946480
101800.000            1.0677999192
102000.000            -2.4479253421
102200.000            0.5757552914
102400.000            0.7687350697
102600.000            1.9523760326
102800.000            -0.0430267918
103000.000            0.8948835979
103200.000            1.6518849173
103400.000            1.6362111564
103600.000            -1.5576106787
103800.000            1.3112540233
104000.000            -0.8209954066
104200.000            0.6628160841
104400.000            0.1171069096
104600.000            -1.8832511553
104800.000            0.5607541223
105000.000            -1.4136415872
105200.000            -0.7003629228
105400.000            -0.1180024493
105600.000            0.2747434147
105800.000            1.8998779265
106000.000            0.9010223814
106200.000            -1.6756643122
106400.000            -0.6018445238
106600.000            -0.4113851669
106800.000            -1.8034702458
107000.000            -0.4303129768
107200.000            0.9798914288
107400.000            0.8746802303
107600.000            1.8835932392
107800.000            0.1236180229
108000.000            1.9126719667
108200.000            2.0440696420
108400.000            -1.9486905021
108600.000            0.9011588366
108800.000            -0.1335678211
109000.000            0.4363332385
109200.000            -0.2128217997
109400.000            0.7025374716
109600.000            -2.4874305158
109800.000            1.4367238868
110000.000            -0.0113437085
110200.000            1.9167159599
110400.000            -0.4776246468
110600.000            0.9710378380
110800.000            0.8529826449
111000.000            2.0351059964
111200.000            1.2282045809
111400.000            -0.2655166087
111600.000            -0.8748230365
111800.000            -0.3610515303
112000.000            -1.0961297530
112200.000            -0.9647037322
112400.000            1.1099556784
112600.000            -0.3420974322
112800.000            -2.9153056156
113000.000            1.8624579957
113200.000            -0.3833836607
113400.000            1.1468756509
113600.000            0.1884058465
113800.000            0.4782350781
114000.000            0.5255958722
114200.000            -0.6963824814
114400.000            0.6170729358
114600.000            1.7587732385
114800.000            -1.0838518540
115000.000            1.6744906229
115200.000            0.4803874587
115400.000            0.5721590968
115600.000            0.6546491221
115800.000            1.1660338798
116000.000            1.1155382753
116200.000            0.4995295877
116400.000            1.1378836064
116600.000            1.0508898126
116800.000            0.8800369297
117000.000            1.7831498614
117200.000            0.0578871050
117400.000            1.8394575894
117600.000            0.4970314999
117800.000            1.7406819826
118000.000            -0.0263368572
118200.000            1.7667086696
118400.000            -0.3343281413
118600.000            -0.2195658760
118800.000            0.3334582215
119000.000            0.9672059372
119200.000            1.6026652591
119400.000            1.7383822871
119600.000            1.7490025020
119800.000            1.4239195462
120000.000            -0.8346769662
120200.000            -0.1769915044
120400.000            -0.8239992184
120600.000            0.2519823675
120800.000            -0.1576757706
121000.000            1.5160530430
121200.000            -2.3189784705
121400.000            2.3767476173
121600.000            0.5649711072
121800.000            1.0142101119
122000.000            1.2269665629
122200.000            -0.8792818510
122400.000            1.4234362156
122600.000            1.3226823905
