Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -32.6055		     1.3519		     0.1352		 
0.0625    		    -17.5820		     0.8044		     0.0804		 
0.1250    		    -8.6445		     0.6014		     0.0601		 
0.1875    		    -3.6236		     0.3614		     0.0361		 
0.2500    		    -1.0444		     0.3157		     0.0316		 
0.3125    		    0.2073		     0.2841		     0.0284		 
0.3750    		    0.8110		     0.2805		     0.0281		 
0.4375    		    0.9864		     0.2251		     0.0225		 
0.5000    		    1.0354		     0.2167		     0.0217		 
0.5625    		    0.9709		     0.2201		     0.0220		 
0.6250    		    0.9111		     0.2473		     0.0247		 
0.6875    		    0.8436		     0.2203		     0.0220		 
0.7500    		    0.7712		     0.2178		     0.0218		 
0.8125    		    0.7439		     0.2598		     0.0260		 
0.8750    		    0.7203		     0.2121		     0.0212		 
0.9375    		    0.6923		     0.2108		     0.0211		 
1.0000    		    2.0829		     0.1859		     0.0186		 
