# lambba_val.val 0.0000
#time (ps)      gradients (kcal/mol*lam)
0.000            -6.5807784213
200.000            -12.5014858148
400.000            -11.2509124437
600.000            -12.0527998366
800.000            -5.4782968081
1000.000            -11.0113002976
1200.000            -2.5345048720
1400.000            -8.3057276573
1600.000            -9.5004616578
1800.000            -11.8146342547
2000.000            -7.5814642609
2200.000            -4.3075428915
2400.000            -6.8629143602
2600.000            -15.6072080356
2800.000            -17.7116682580
3000.000            -34.5849955155
3200.000            -22.0741945602
3400.000            -21.4073425181
3600.000            -36.4761663281
3800.000            -14.0792707745
4000.000            -2.0981950884
4200.000            -8.1102003765
4400.000            -17.0797138508
4600.000            -22.7356570032
4800.000            -8.6812829779
5000.000            -48.1048952607
5200.000            -27.0498892075
5400.000            -3.1178252678
5600.000            -11.6384917881
5800.000            -15.1488789879
6000.000            -7.6431991782
6200.000            -8.7154226995
6400.000            -11.0688651203
6600.000            -24.1964879530
6800.000            -13.6872557308
7000.000            -6.4197010604
7200.000            -3.7758993266
7400.000            -11.0354774413
7600.000            -6.7121246598
7800.000            -10.2425244236
8000.000            -11.4715499537
8200.000            -16.3385045899
8400.000            -5.7266445914
8600.000            -15.2926851645
8800.000            -8.6564755345
9000.000            -21.0021663138
9200.000            -1.1344812748
9400.000            -5.1979612588
9600.000            -22.5200116637
9800.000            -13.1122994162
10000.000            -25.4767174320
10200.000            -11.2908591771
10400.000            -8.3335677027
10600.000            -10.4458203009
10800.000            -23.8163821283
11000.000            -21.3843586683
11200.000            1.6678257595
11400.000            -3.3106862249
11600.000            -5.1957110906
11800.000            -3.6091768607
12000.000            -8.9155262206
12200.000            -9.6966014483
12400.000            -14.6452557107
12600.000            -2.8652520274
12800.000            -6.2882412031
13000.000            -8.6871734841
13200.000            -9.3911363557
13400.000            -12.2137477456
13600.000            -8.3728790959
13800.000            -14.3557045440
14000.000            -8.7262393753
14200.000            -2.2559313450
14400.000            -16.6511230415
14600.000            -12.8571494841
14800.000            -14.5773500354
15000.000            -44.5944335208
15200.000            -8.2452585578
15400.000            -10.1458204742
15600.000            -5.6074262466
15800.000            -2.6799640539
16000.000            -11.0756931002
16200.000            -7.3599596070
16400.000            -20.2486527180
16600.000            -9.5200823674
16800.000            -8.5073343741
17000.000            -6.5677913062
17200.000            -16.9792627937
17400.000            -5.5714312593
17600.000            -8.6778356317
17800.000            -4.7327272657
18000.000            -3.5498420871
18200.000            -4.0698532633
18400.000            -7.6084639067
18600.000            -6.8317899843
18800.000            -18.2664660120
19000.000            -5.6471972445
19200.000            -12.2810769656
19400.000            -6.0266393124
19600.000            -6.4255247948
19800.000            -8.3718736644
20000.000            -14.1625996089
20200.000            -5.1435756099
20400.000            -4.2010420188
20600.000            -5.2681788987
20800.000            -29.9786954525
21000.000            -7.7504948192
21200.000            -2.3759476425
21400.000            -1.3543686161
21600.000            1.1598905658
21800.000            -16.8764711063
22000.000            -25.6591419034
22200.000            -6.9124755805
22400.000            -3.2714489270
22600.000            -7.9351151103
22800.000            -6.3495521254
23000.000            -6.1682881550
23200.000            -5.4433412016
23400.000            -11.4050554998
23600.000            -12.1323155031
23800.000            -11.0139058210
24000.000            -14.3407305824
24200.000            -7.8111811939
24400.000            -14.4763388305
24600.000            -5.5481666299
24800.000            -16.4799629016
25000.000            -5.8198645591
25200.000            -17.5883980865
25400.000            -5.4100707468
25600.000            -17.0406391832
25800.000            -5.1171849988
26000.000            -11.0449215000
26200.000            -19.9068947801
26400.000            -5.2144544330
26600.000            -5.5876325174
26800.000            -16.0051288849
27000.000            -4.5711000218
27200.000            -4.1279770715
27400.000            -4.0637970729
27600.000            -12.2935108117
27800.000            -12.4480999817
28000.000            -4.5264073137
28200.000            -9.5455082505
28400.000            -10.5733440021
28600.000            -8.1427438014
28800.000            -16.6314327137
29000.000            -10.2062008016
29200.000            -14.0371354560
29400.000            -13.5386239574
29600.000            -9.5314620374
29800.000            -0.8537623213
30000.000            -16.6017062167
30200.000            -5.4675816717
30400.000            -15.7705102732
30600.000            -3.2049921464
30800.000            -9.4517878620
31000.000            -23.6728707913
31200.000            -6.1822183180
31400.000            -6.0419495643
31600.000            -3.8037156342
31800.000            -22.4851287352
32000.000            -6.4197853850
32200.000            -18.4859401746
32400.000            -6.7797454579
32600.000            -4.8854617570
32800.000            -8.0066805444
33000.000            -12.5465175825
33200.000            -4.9902685652
33400.000            -5.4456001283
33600.000            -12.2892573413
33800.000            -2.7256634566
34000.000            -1.7804749748
34200.000            -12.9291950703
34400.000            -10.0275635840
34600.000            -10.9330593439
34800.000            -18.1171356253
35000.000            -4.6999045674
35200.000            -21.9923403982
35400.000            -13.1917814596
35600.000            -2.1277013749
35800.000            -3.0232723488
36000.000            -10.3986518356
36200.000            -5.2998059548
36400.000            -8.7839394613
36600.000            -8.6489186983
36800.000            -10.2000829392
37000.000            -9.4141580389
37200.000            -14.9058464771
37400.000            -7.3131377502
37600.000            -19.7655596345
37800.000            -2.3695524103
38000.000            -20.1014337078
38200.000            -6.8698781371
38400.000            -16.7035485704
38600.000            -6.6797877175
38800.000            -9.3866461597
39000.000            -16.6384151701
39200.000            -12.4671340364
39400.000            -15.7253125841
39600.000            -15.2011825960
39800.000            -24.2451711182
40000.000            -11.9979490563
40200.000            -24.8468997224
40400.000            -35.8147661501
40600.000            -18.6428202222
40800.000            -2.9015889148
41000.000            -2.8955428766
41200.000            -8.1935805647
41400.000            -19.6716889205
41600.000            -7.5975576879
41800.000            -2.3576025411
42000.000            -9.2577095767
42200.000            -19.6476191098
42400.000            -9.3555353635
42600.000            -10.5542949445
42800.000            -8.4081970492
43000.000            -5.9105898469
43200.000            -22.0170100877
43400.000            -19.9690876120
43600.000            -2.2857088163
43800.000            -35.9838651999
44000.000            -17.8949839491
44200.000            -7.7523982306
44400.000            -27.0603993616
44600.000            -13.1845149562
44800.000            -2.8341572600
45000.000            -26.7632270182
45200.000            -15.5955955538
45400.000            -22.1435109825
45600.000            -6.3206322270
45800.000            -6.2573446578
46000.000            -10.9874135460
46200.000            -13.9654247369
46400.000            -15.1183385391
46600.000            -25.3284365960
46800.000            -7.6803058567
47000.000            -9.4643790903
47200.000            -6.7592565370
47400.000            -7.6872704045
47600.000            -11.7088102025
47800.000            -16.1906804232
48000.000            -4.7008900445
48200.000            -14.9118562949
48400.000            -3.4176590604
48600.000            -9.5753861997
48800.000            -14.9068370243
49000.000            -16.1003831272
49200.000            -10.5836564500
49400.000            -10.4814461991
49600.000            -2.5883807840
49800.000            -3.1919479729
50000.000            -9.6882273988
50200.000            -8.3053796849
50400.000            -12.0515932002
50600.000            -3.3568789443
50800.000            -11.8252539952
51000.000            -12.4741788764
51200.000            -13.9333462833
51400.000            -14.8702080073
51600.000            -1.5319120274
51800.000            -1.6921685755
52000.000            -8.4333052622
52200.000            -7.5522467358
52400.000            -13.8721679558
52600.000            -2.6966211096
52800.000            -6.0858946595
53000.000            -11.3372385966
53200.000            -3.7689647431
53400.000            -18.9714064441
53600.000            -14.3125808724
53800.000            -7.4956856249
54000.000            -8.9455820698
54200.000            -6.4689883740
54400.000            -19.0449224924
54600.000            -9.1322604860
54800.000            -26.0486711504
55000.000            -7.5396113883
55200.000            -4.6758869585
55400.000            -8.8993028080
55600.000            -7.6225924282
55800.000            -23.1298953225
56000.000            -7.0530310497
56200.000            -24.1645307679
56400.000            -32.3248436175
56600.000            -20.6916800530
56800.000            -25.8854735180
57000.000            -7.2579625396
57200.000            -7.4691753227
57400.000            -23.3820648959
57600.000            -7.9179806125
57800.000            -10.8130711902
58000.000            -8.9722171985
58200.000            -1.0938357858
58400.000            -32.4761392062
58600.000            -17.0660277666
58800.000            -28.3062295629
59000.000            -8.7518486140
59200.000            -9.2934992022
59400.000            -5.7529258770
59600.000            -10.4083163124
59800.000            -20.3111022003
60000.000            -1.4106783840
60200.000            -2.4954123492
60400.000            -0.7339576655
60600.000            -20.1698070822
60800.000            -15.3786960786
61000.000            -12.8648060629
61200.000            -13.3393438761
61400.000            -6.5052395907
61600.000            -12.1417852387
61800.000            -16.4834981304
62000.000            -11.3518093182
62200.000            -9.8226578896
62400.000            -25.6229674802
62600.000            -10.3068094781
62800.000            -6.2714504081
63000.000            -4.4954198437
63200.000            -9.8117179291
63400.000            -18.8947714530
63600.000            -8.7323251564
63800.000            -13.8046267976
64000.000            -6.4633415908
64200.000            -34.2951275089
64400.000            -18.2973771451
64600.000            -8.6026284660
64800.000            -23.8047794903
65000.000            -5.9775516026
65200.000            -17.2231103237
65400.000            -25.3853159700
65600.000            -15.7322918383
65800.000            -36.6613813982
66000.000            -9.4357317940
66200.000            -27.8965568768
66400.000            -8.5798800965
66600.000            -15.1472619362
66800.000            -17.1835087756
67000.000            -7.9151301208
67200.000            -3.5969296376
67400.000            -4.4324791440
67600.000            -6.3052055692
67800.000            -10.7195817159
68000.000            -12.4305193107
68200.000            -11.0434703104
68400.000            -7.0168019519
68600.000            -5.1507788580
68800.000            -6.7719253890
69000.000            -24.5979332385
69200.000            -16.6822094654
69400.000            -14.9727161814
69600.000            -33.8733094712
69800.000            -30.2044018079
70000.000            -15.6220769769
70200.000            -7.1952728923
70400.000            -14.5404897484
70600.000            -7.3508156656
70800.000            -7.7734809224
71000.000            -25.4954307923
71200.000            -21.4733342266
71400.000            -5.4453679925
71600.000            -18.0422363452
71800.000            -25.3548588970
72000.000            -4.6300393592
72200.000            -11.2786537546
72400.000            -8.4895952535
72600.000            -15.9529103723
72800.000            -12.2766072874
73000.000            -1.6489183043
73200.000            -8.4849093082
73400.000            -11.6038632566
73600.000            -4.1087623534
73800.000            -8.7101440507
74000.000            -10.5311886995
74200.000            -8.1948223660
74400.000            -31.3416108353
74600.000            -12.5075066624
74800.000            -18.2642629577
75000.000            -12.8812070790
75200.000            -0.0331261315
75400.000            -11.0534185970
75600.000            -17.4843342362
75800.000            -36.3919401661
76000.000            -18.4438498055
76200.000            -10.9420220052
76400.000            -7.9968707233
76600.000            -18.6101321646
76800.000            -14.1777713360
77000.000            -5.2143539491
77200.000            -1.8414972722
77400.000            -16.2562310583
77600.000            -16.3067117251
77800.000            -24.4020726324
78000.000            -15.2801409018
78200.000            -16.5379736603
78400.000            -9.3750799912
78600.000            -6.5092877052
78800.000            -10.6383330662
79000.000            -8.2951780094
79200.000            -7.0628262830
79400.000            -12.7672714391
79600.000            0.0436738694
79800.000            -6.9403973413
80000.000            -14.5085285309
80200.000            -1.4940395784
80400.000            -5.7227742109
80600.000            -14.3396207829
80800.000            -4.7715010570
81000.000            -13.7340630591
81200.000            -4.7526863470
81400.000            -7.2793541251
81600.000            -16.5515733444
81800.000            -12.5722295288
82000.000            -14.7296313087
82200.000            -14.7504521317
82400.000            -11.7455279323
82600.000            -9.3387262448
82800.000            -12.1806052721
83000.000            -11.6595758438
83200.000            -5.4165445100
83400.000            -5.7933779235
83600.000            -23.3334635647
83800.000            -8.4368059784
84000.000            -26.0484246996
84200.000            -32.4725891524
84400.000            -30.9410181652
84600.000            -3.3387779751
84800.000            -28.0650953637
85000.000            -6.7690685522
85200.000            -22.5002743110
85400.000            -13.3047666984
85600.000            -16.3011774340
85800.000            -23.1288055071
86000.000            -42.7901732033
86200.000            -9.2842069515
86400.000            -25.3032126887
86600.000            -19.8447779708
86800.000            -10.6271658088
87000.000            -9.1704193837
87200.000            -12.7191824599
87400.000            -14.5742562951
87600.000            -8.6787346197
87800.000            -10.8466303648
88000.000            -0.9587568910
88200.000            -17.9336413819
88400.000            -21.2994824597
88600.000            -11.5653205693
88800.000            -21.5327507511
89000.000            -14.9045195210
89200.000            -4.5295016470
89400.000            -38.2192915478
89600.000            -10.2644945992
89800.000            -11.6970501230
90000.000            -17.9131996045
90200.000            -12.4226381628
90400.000            -6.6927061632
90600.000            -5.8450506389
90800.000            -32.4928643561
91000.000            -8.8061249552
91200.000            -13.4671709561
91400.000            -7.3289535939
91600.000            -7.1618495740
91800.000            -13.0814431356
92000.000            -10.6042428601
92200.000            -11.2976766016
92400.000            -15.6279297090
92600.000            -17.4628339538
92800.000            -11.9516557404
93000.000            -7.1875869600
93200.000            -11.8571465433
93400.000            -29.6827725008
93600.000            -12.0863946505
93800.000            -9.7647643670
94000.000            -2.5299537453
94200.000            -11.7908620707
94400.000            -10.8965999249
94600.000            -22.7195329181
94800.000            -1.9892723563
95000.000            -32.1129269434
95200.000            -17.6111920577
95400.000            -18.1754580055
95600.000            -18.3463949402
95800.000            -18.4188160140
96000.000            -9.1933373512
96200.000            -8.4494062203
96400.000            -23.3472469602
96600.000            -1.2717823660
96800.000            -11.4180824052
97000.000            -20.6242247019
97200.000            -19.2507842214
97400.000            -9.3525726169
97600.000            -25.2578088135
97800.000            -15.6722651761
98000.000            -11.5567805984
98200.000            -6.5583161743
98400.000            -6.2763217845
98600.000            -3.0958611348
98800.000            -6.3799823355
99000.000            -8.9244393071
99200.000            -5.0228546801
99400.000            -12.0072582668
99600.000            -25.1330849025
99800.000            -8.6059938596
100000.000            -18.5333862232
100200.000            -2.4338622640
100400.000            -12.1385845805
100600.000            -17.6555564039
100800.000            -17.4711985153
101000.000            -5.3548649018
101200.000            -6.8514854119
101400.000            -13.6378954189
101600.000            -7.1503668999
101800.000            -10.3983267530
102000.000            -5.7241183699
102200.000            -19.6382617477
102400.000            -3.8008804715
102600.000            -22.6465115504
102800.000            -16.9209528665
103000.000            -15.3719112691
103200.000            -7.2565587307
103400.000            -14.9250966210
103600.000            -25.2495900114
103800.000            -6.6257236110
104000.000            -7.6297136466
104200.000            -15.2071857722
104400.000            -17.3204674626
104600.000            -25.8639476773
104800.000            -7.2459384565
105000.000            -12.9879815916
105200.000            -16.6161387100
105400.000            -22.0632046691
105600.000            -26.6231423910
105800.000            -61.1489401990
106000.000            -1.9706694897
106200.000            -14.9330709885
106400.000            -21.8868172935
106600.000            -3.8579785736
106800.000            -12.4266415058
107000.000            -4.9594387264
107200.000            -17.3081917696
107400.000            -7.1248661802
107600.000            -6.6072999312
107800.000            -15.8924666532
108000.000            -8.0041917827
