Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -20.6289		     1.6602		     0.1660		 
0.0625    		    -12.4975		     1.4216		     0.1422		 
0.1250    		    -6.6363		     1.0141		     0.1014		 
0.1875    		    -2.6736		     0.7506		     0.0751		 
0.2500    		    -0.5009		     0.7091		     0.0709		 
0.3125    		    1.1197		     0.5919		     0.0592		 
0.3750    		    1.5679		     0.3875		     0.0387		 
0.4375    		    1.6088		     0.3443		     0.0344		 
0.5000    		    1.2741		     0.2944		     0.0294		 
0.5625    		    0.9366		     0.3059		     0.0306		 
0.6250    		    0.8333		     0.2558		     0.0256		 
0.6875    		    0.3441		     0.2616		     0.0262		 
0.7500    		    0.2141		     0.2763		     0.0276		 
0.8125    		    -0.1248		     0.2878		     0.0288		 
0.8750    		    -0.2596		     0.2992		     0.0299		 
0.9375    		    -0.1969		     0.3084		     0.0308		 
1.0000    		    2.5623		     0.2901		     0.0290		 
