# lambba_val.val 0.5000
#time (ps)      gradients (kcal/mol*lam)
0.000            -0.9891152829
200.000            -1.5442312170
400.000            -0.4097959933
600.000            -0.2222502672
800.000            -2.2722712703
1000.000            -0.6974229414
1200.000            -0.3896098873
1400.000            -0.3493303682
1600.000            -2.2123900176
1800.000            -3.5124631861
2000.000            -0.7450668445
2200.000            -1.2042970269
2400.000            -0.7254626559
2600.000            -0.0343316066
2800.000            -0.4653318191
3000.000            -1.6208142138
3200.000            -0.3315414356
3400.000            -0.5838320255
3600.000            0.2568835249
3800.000            0.1953806200
4000.000            -0.2740112317
4200.000            0.0194910098
4400.000            -1.9015319399
4600.000            -0.2348795009
4800.000            -2.8313882050
5000.000            -3.7046749149
5200.000            -0.8873970204
5400.000            -1.7920785853
5600.000            -2.2459681682
5800.000            -0.4331830594
6000.000            -1.1313765047
6200.000            -0.2502534445
6400.000            0.0372621198
6600.000            -1.6435327080
6800.000            0.0162347850
7000.000            -1.7033665088
7200.000            -0.7364611040
7400.000            -0.7041287693
7600.000            -0.8760545908
7800.000            0.0548211385
8000.000            -1.4114150738
8200.000            0.1622498245
8400.000            -0.2366047472
8600.000            -0.9967755205
8800.000            0.1305430698
9000.000            -0.3608955808
9200.000            -0.4781178930
9400.000            -0.9120316873
9600.000            -0.6065418310
9800.000            -0.8805067280
10000.000            -1.4432686440
10200.000            -2.4148979758
10400.000            -2.3146643540
10600.000            -2.3590533631
10800.000            -2.6334589243
11000.000            -2.5820508530
11200.000            -0.9742831491
11400.000            -1.4639475384
11600.000            -0.1735833401
11800.000            -1.8017269563
12000.000            -0.7858035132
12200.000            -0.4638846079
12400.000            -1.4929835462
12600.000            -1.4203271403
12800.000            -0.1119699344
13000.000            -0.4807221379
13200.000            -0.4178518900
13400.000            -0.5480367220
13600.000            -0.3660517158
13800.000            -1.8513653377
14000.000            -1.0171327183
14200.000            -0.0676996683
14400.000            -0.5832889318
14600.000            -0.7244431940
14800.000            -1.7827978092
15000.000            -0.5170036693
15200.000            -2.3312375477
15400.000            -0.3411800037
15600.000            -0.7437907322
15800.000            -1.5190787958
16000.000            -0.3013121908
16200.000            -1.5729865164
16400.000            -1.7274459973
16600.000            0.0227187182
16800.000            -0.0848578968
17000.000            -0.9328291105
17200.000            -0.4791248811
17400.000            -0.5694668519
17600.000            -0.1793855516
17800.000            -0.6005605009
18000.000            0.3406984681
18200.000            -0.1714967368
18400.000            -0.2721919699
18600.000            -0.5473184632
18800.000            -0.4241968056
19000.000            -0.5078953293
19200.000            -0.6505971115
19400.000            -1.6226512982
19600.000            -1.6449407094
19800.000            -0.0018018847
20000.000            -2.0508049835
20200.000            -1.4041119586
20400.000            -0.7644197256
20600.000            -0.6618383931
20800.000            -0.2566928208
21000.000            -0.5878813651
21200.000            -0.5604057425
21400.000            -1.4250644394
21600.000            -0.3743018876
21800.000            -1.4781514183
22000.000            -1.5286879576
22200.000            -0.5395200987
22400.000            -2.5225405337
22600.000            -0.0258270139
22800.000            -0.6369983169
23000.000            -0.3847424816
23200.000            -0.4792710277
23400.000            -1.0156534205
23600.000            -0.0763479572
23800.000            -0.2286103321
24000.000            -0.2063951082
24200.000            -0.2848127373
24400.000            -1.3522360339
24600.000            -0.3174881605
24800.000            -2.4553575059
25000.000            -0.8836987877
25200.000            -1.7906405070
25400.000            -2.1156033269
25600.000            -1.5556088471
25800.000            -1.1253349081
26000.000            -0.1192630226
26200.000            -0.6411501353
26400.000            -0.6777046952
26600.000            -0.7829260281
26800.000            0.0367773398
27000.000            -0.3222807106
27200.000            -1.6373945354
27400.000            -0.3054310390
27600.000            -1.1081837292
27800.000            -0.3508301565
28000.000            -0.0692754264
28200.000            -0.8477020866
28400.000            -0.3021249104
28600.000            -0.1138760825
28800.000            -0.8265909842
29000.000            -0.5861668118
29200.000            -0.1324545650
29400.000            -0.1751250120
29600.000            -0.8568237965
29800.000            -0.7572959514
30000.000            -1.2360251657
30200.000            -0.6255480622
30400.000            -2.3323730834
30600.000            -1.5651375802
30800.000            -1.2467642949
31000.000            -2.9635602790
31200.000            -2.9918682251
31400.000            -0.6648098983
31600.000            -0.5089121203
31800.000            -0.3466141738
32000.000            -0.4446395526
32200.000            -1.8423566893
32400.000            0.2734373381
32600.000            -1.2395184338
32800.000            -0.5823696656
33000.000            -0.4468228451
33200.000            -2.0919186104
33400.000            -0.0064981915
33600.000            -1.6678430039
33800.000            -0.1881873397
34000.000            -0.9259869342
34200.000            -0.0614983376
34400.000            -1.0429240851
34600.000            -0.8612117652
34800.000            -1.4682276879
35000.000            -0.1981306777
35200.000            -0.2149607435
35400.000            -0.6097285478
35600.000            -0.6636835008
35800.000            -0.0249456836
36000.000            -0.3660517158
36200.000            -0.4029288630
36400.000            -0.5237348941
36600.000            -0.9744720730
36800.000            0.3175558876
37000.000            -1.0863724954
37200.000            -1.2055517496
37400.000            -2.6051260248
37600.000            -0.4834825546
37800.000            0.0116952074
38000.000            -0.4876281370
38200.000            -0.7033231788
38400.000            -0.3224428979
38600.000            -0.5606597173
38800.000            -1.0617538691
39000.000            -0.2072969414
39200.000            -0.8127591584
39400.000            -0.3059790902
39600.000            -0.6293567944
39800.000            -2.5825427583
40000.000            0.0772012237
40200.000            -1.8586039523
40400.000            -0.8642514417
40600.000            -1.2391189831
40800.000            -0.3115825773
41000.000            -0.2475430847
41200.000            -0.8831075193
41400.000            -0.1724248589
41600.000            -3.0250917024
41800.000            -0.7652805660
42000.000            -0.2377685761
42200.000            -1.3239142709
42400.000            -1.8387974796
42600.000            -4.1683349555
42800.000            0.0061952040
43000.000            -0.6237693468
43200.000            -1.4429808018
43400.000            -1.3630036805
43600.000            -0.6464294720
43800.000            -1.6336668958
44000.000            -1.2945445346
44200.000            -0.8897926218
44400.000            -1.1761566151
44600.000            -0.8316776077
44800.000            -1.5080331153
45000.000            -1.6253748404
45200.000            -1.7065362895
45400.000            -0.4093753684
45600.000            -1.7282765412
45800.000            -2.0374452390
46000.000            -2.7519252681
46200.000            -0.5279112206
46400.000            -1.6159483642
46600.000            -1.0483491753
46800.000            -2.8341703416
47000.000            -2.6141078222
47200.000            -0.1944573991
47400.000            -2.7870932101
47600.000            -0.7777458292
47800.000            -0.8616109965
48000.000            -1.3300279408
48200.000            0.0798256306
48400.000            -0.9449834164
48600.000            -0.6780754092
48800.000            -1.0999124762
49000.000            -1.8599393231
49200.000            -0.6812852944
49400.000            -1.1022044865
49600.000            -0.8825883715
49800.000            -2.2453835829
50000.000            -1.3777306576
50200.000            0.2172794898
50400.000            -0.4241611598
50600.000            -0.5302116983
50800.000            -0.4737940827
51000.000            -0.5491417354
51200.000            -0.7389694406
51400.000            -1.8061585935
51600.000            -1.0466312246
51800.000            -0.0596555717
52000.000            -0.4689355886
52200.000            0.1412483328
52400.000            -0.7882398893
52600.000            -1.9727910420
52800.000            -0.3591222125
53000.000            -1.0698979947
53200.000            -0.4713131492
53400.000            -0.5006271933
53600.000            0.0236633264
53800.000            -0.1626766801
54000.000            -0.4379310521
54200.000            -0.6390381361
54400.000            -0.2656563509
54600.000            -0.5660805207
54800.000            -0.0167391701
55000.000            -0.8343278611
55200.000            -0.7748585359
55400.000            -1.0623945997
55600.000            -0.5206466492
55800.000            -0.5129472012
56000.000            -0.6869725440
56200.000            -1.6107833223
56400.000            0.1578244238
56600.000            -0.2271069793
56800.000            -0.6656306400
57000.000            -3.1264570707
57200.000            -2.5244480190
57400.000            -3.7881925368
57600.000            -0.4058696241
57800.000            -0.2557971139
58000.000            -0.9385092322
58200.000            -1.1282926023
58400.000            -2.4870281712
58600.000            -2.4669601440
58800.000            -2.3430507184
59000.000            -2.4542364513
59200.000            -0.4818927614
59400.000            0.2156201874
59600.000            -0.5643873551
59800.000            -0.7154391176
60000.000            -2.1287400618
60200.000            0.1194982835
60400.000            -1.6026436502
60600.000            -0.6545813955
60800.000            -1.2698858096
61000.000            -1.0946075219
61200.000            -3.9600470678
61400.000            -0.2932157401
61600.000            0.1374850492
61800.000            -1.0562038516
62000.000            0.2987136275
62200.000            -0.9113682330
62400.000            -2.3649638474
62600.000            -3.2603935984
62800.000            -0.7954051023
63000.000            -1.5463961295
63200.000            0.1648916081
63400.000            -1.7511164521
63600.000            -1.3392940106
63800.000            -0.7671501764
64000.000            -0.9196277623
64200.000            -1.2601126775
64400.000            -0.2930602365
64600.000            -0.4929491325
64800.000            -0.7791342260
65000.000            -0.4452072089
65200.000            -0.8581818910
65400.000            0.0099130392
65600.000            -1.5161977409
65800.000            -1.1291668148
66000.000            -2.7956018113
66200.000            -3.1255039951
66400.000            -0.5823883794
66600.000            -0.1816000342
66800.000            -0.9187330558
67000.000            -1.7372307108
67200.000            -2.3318989976
67400.000            -2.9572079207
67600.000            -0.9659349485
67800.000            -2.0002702291
68000.000            -0.5037042988
68200.000            -1.0792404844
68400.000            -0.0826646904
68600.000            -0.6299681181
68800.000            -0.0001430279
69000.000            0.1361790835
69200.000            0.1598562227
69400.000            -0.6247995064
69600.000            -1.2553735934
69800.000            0.2677714710
70000.000            -0.4568722288
70200.000            -0.7337332150
70400.000            -1.1903524717
70600.000            -0.5943751018
70800.000            -1.8809056149
71000.000            -0.7771487672
71200.000            -1.3450525565
71400.000            -2.1994150234
71600.000            -0.3550336631
71800.000            -1.5195323875
72000.000            -2.5766238118
72200.000            -2.8454985095
72400.000            -2.6385580246
72600.000            -1.1035251568
72800.000            -0.1900373455
73000.000            -0.1855210492
73200.000            -0.5486284388
73400.000            -0.5913532455
73600.000            -0.5119616002
73800.000            -0.4164991396
74000.000            -1.0685602104
74200.000            -0.7759795906
74400.000            -0.3375744522
74600.000            -1.2126167101
74800.000            -1.7241213546
75000.000            -0.5914619650
75200.000            -0.8727039036
75400.000            -1.7047549056
75600.000            0.4037077193
75800.000            -2.9342150454
76000.000            -2.2959611044
76200.000            -1.3349773323
76400.000            -0.6085869991
76600.000            -0.5323170161
76800.000            -0.1194194175
77000.000            -1.8395870294
77200.000            -1.9734772201
77400.000            -1.3962021984
77600.000            -0.7515570101
77800.000            -0.8291539302
78000.000            -0.6681231554
78200.000            -1.6924010315
78400.000            -0.3131465276
78600.000            -0.0837849647
78800.000            -0.9288849252
79000.000            -0.5307699971
79200.000            -0.7803711291
79400.000            -0.5054072673
79600.000            -1.2021173012
79800.000            -0.5615169937
80000.000            -0.0330113830
80200.000            -0.4763213550
80400.000            -2.1039400902
80600.000            -0.4022480320
80800.000            -0.7831915854
81000.000            -1.2577012548
81200.000            0.1050974641
81400.000            -0.0331423805
81600.000            -0.0868023639
81800.000            -0.0956446984
82000.000            -0.0132690717
82200.000            -1.3040476501
82400.000            -0.1651897501
82600.000            -0.1286342485
82800.000            0.0859985560
83000.000            -0.6604593538
83200.000            -0.9377285951
83400.000            0.2581605285
83600.000            -1.1846313560
83800.000            -3.9039801157
84000.000            -2.4301988464
84200.000            -2.6515508443
84400.000            -3.1368994449
84600.000            -1.4649768085
84800.000            -2.1134022117
85000.000            -0.3522443951
85200.000            -2.1842175245
85400.000            -1.0082721123
85600.000            -1.8217250214
85800.000            -0.4782290627
86000.000            -1.3601140449
86200.000            -2.4353954181
86400.000            -0.3481754509
86600.000            -0.0264606143
86800.000            -2.4545875607
87000.000            -1.1395953780
87200.000            -0.4300159484
87400.000            -0.0886149420
87600.000            -2.1230336466
87800.000            -1.8977098414
88000.000            -0.6956843307
88200.000            -0.6874127694
88400.000            -0.4692385760
88600.000            -1.1610482323
88800.000            -2.3758357553
89000.000            -1.0203586442
89200.000            -2.6735798218
89400.000            -0.8512381278
89600.000            -1.5009717247
89800.000            -0.4244623652
90000.000            -0.1832700301
90200.000            -1.3326465576
90400.000            -0.7835395756
90600.000            -0.7863374207
90800.000            -1.0975705591
91000.000            -0.7875430194
91200.000            -3.7918319498
91400.000            -3.0891967340
91600.000            -1.9718829693
91800.000            -0.6385907829
92000.000            -2.5218650533
92200.000            -1.3459686525
92400.000            -2.8718370374
92600.000            -1.6356436435
92800.000            -2.3208239102
93000.000            -2.9010998440
93200.000            -2.0531914586
93400.000            -3.1642021848
93600.000            -2.1046102277
93800.000            -3.7018981213
94000.000            -0.7208322925
94200.000            -0.7929869966
94400.000            -0.4402907906
94600.000            -0.8165416030
94800.000            -1.0271847740
95000.000            -1.9072352360
95200.000            -0.6363080175
95400.000            -1.2994137228
95600.000            -0.2679496989
95800.000            -0.6500544098
96000.000            -0.2542341664
96200.000            -0.7309235632
96400.000            0.1098632800
96600.000            -2.6259145352
96800.000            -2.9275602334
97000.000            -1.6357076105
97200.000            -0.8170647001
97400.000            -0.3160676841
97600.000            -0.3735087732
97800.000            -0.3077105749
98000.000            -0.7837209209
98200.000            -1.1738610350
98400.000            -0.1639340785
98600.000            -0.4332989073
98800.000            -0.8411407373
99000.000            -0.4265244628
99200.000            -3.6404772034
99400.000            -2.2283432060
99600.000            -0.2306073765
99800.000            -1.1661847567
100000.000            -0.7721245213
100200.000            -0.2447658059
100400.000            -0.1634582096
100600.000            -0.1432863694
100800.000            -0.8272825112
101000.000            0.0530424235
101200.000            -1.0728414273
101400.000            -0.2697230672
101600.000            -3.0589122359
101800.000            -0.9873579511
102000.000            -0.3715375724
102200.000            -0.7656316753
102400.000            -1.6265725344
102600.000            -1.4991751897
102800.000            -1.2323465436
103000.000            -0.2512657797
103200.000            -0.5454702394
103400.000            -0.0864383331
103600.000            -0.0487925777
103800.000            -1.1684411277
104000.000            -0.4701350628
104200.000            -0.6493535253
104400.000            -0.6997301028
104600.000            -0.6527703795
104800.000            -0.5309517895
105000.000            -1.4273083277
105200.000            -3.3005513686
105400.000            -0.3089652994
105600.000            -0.3565031527
105800.000            -2.1011080468
106000.000            -0.4500728320
106200.000            -1.5563685394
106400.000            -1.4566455380
106600.000            -2.2159429949
106800.000            -2.9891965882
107000.000            -1.2580514688
107200.000            -0.3472112377
107400.000            -1.9419761943
107600.000            0.0066955790
107800.000            -0.4715510839
108000.000            -0.4079083854
108200.000            -0.2480697066
108400.000            -0.7768341925
108600.000            -0.7881810755
108800.000            -0.8088697781
109000.000            -1.7494677046
109200.000            -1.2478532682
109400.000            -0.6264855418
109600.000            -0.3849920012
109800.000            -0.2968520362
110000.000            -0.5338141306
110200.000            -2.0673258271
110400.000            -2.2496496901
110600.000            -1.1099377995
110800.000            -2.6608907129
111000.000            -2.5899255194
111200.000            -3.4558152125
111400.000            -0.5857141132
111600.000            -1.5437143582
111800.000            -2.3576743238
112000.000            -0.1765943901
112200.000            -2.7652816739
112400.000            -1.2378194770
112600.000            0.2150480752
112800.000            -1.1470644621
113000.000            -2.2849671216
113200.000            -0.3945753182
113400.000            -0.7171821877
113600.000            -0.8115057699
113800.000            0.0070970374
114000.000            -0.6896495298
114200.000            0.3603758513
114400.000            -0.3850151703
114600.000            -0.6423228758
114800.000            -0.2873409009
115000.000            -0.8253745811
115200.000            -1.5061465747
115400.000            -2.7126580830
115600.000            -3.5255094766
115800.000            -0.5510559038
116000.000            -0.0603337295
116200.000            -0.2745022499
116400.000            -0.2227386122
116600.000            -0.7380230482
116800.000            -0.7726235604
117000.000            -0.5882685651
117200.000            -1.8880374065
117400.000            -0.0652474745
117600.000            -1.5589671069
117800.000            -1.0151472535
118000.000            -1.2623066648
118200.000            -0.6085665050
118400.000            -0.7504056591
118600.000            -0.2635171698
