Lambda   		    Avg_Grad		     Std.Dev.		     Error		 
0.0000    		    -14.7231		     0.6952		     0.0695		 
0.0625    		    -8.4351		     0.3978		     0.0398		 
0.1250    		    -4.9344		     0.2878		     0.0288		 
0.1875    		    -3.0504		     0.2708		     0.0271		 
0.2500    		    -2.1394		     0.2251		     0.0225		 
0.3125    		    -1.7473		     0.2046		     0.0205		 
0.3750    		    -1.6151		     0.1878		     0.0188		 
0.4375    		    -1.5960		     0.2098		     0.0210		 
0.5000    		    -1.7112		     0.2026		     0.0203		 
0.5625    		    -1.7970		     0.2176		     0.0218		 
0.6250    		    -1.8953		     0.2003		     0.0200		 
0.6875    		    -1.9754		     0.2103		     0.0210		 
0.7500    		    -2.1249		     0.2129		     0.0213		 
0.8125    		    -2.2302		     0.2153		     0.0215		 
0.8750    		    -2.3339		     0.2142		     0.0214		 
0.9375    		    -2.3894		     0.1896		     0.0190		 
1.0000    		    -1.9202		     0.1731		     0.0173		 
